device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;PLC_name;PLC_ip;PLC_port(i);door_open_offset(i);power_fail_offset(i);battery_low_offset(i);read_permission;write_permission
KDJS56P;KDJS56P;'http:\/\/172.17.116.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS56PM;172.17.216.2;502;0;1;2;monitor;
KDJS56.1P;KDJS56.1P;'http:\/\/172.17.116.13/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS56.1PM;172.17.216.13;502;0;1;2;monitor;
KDJS57P;KDJS57P;'http:\/\/172.17.116.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS57PM;172.17.216.3;502;0;1;2;monitor;
KDJS58P;KDJS58P;'http:\/\/172.17.116.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS58PM;172.17.216.4;502;0;1;2;monitor;
KDJS59P;KDJS59P;'http:\/\/172.17.116.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS59PI;172.17.216.5;502;0;1;2;monitor;
KDJS60P;KDJS60P;'http:\/\/172.17.116.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS60PI;172.17.216.6;502;0;1;2;monitor;
KDJS61L;KDJS61L;'http:\/\/172.17.116.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS61LM;172.17.216.7;502;0;1;2;monitor;
KDJS62P;KDJS62P;'http:\/\/172.17.116.8/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS62PI;172.17.216.8;502;0;1;2;monitor;
KDJS63P;KDJS63P;'http:\/\/172.17.116.9/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS63PI;172.17.216.9;502;0;1;2;monitor;
KDJS64P;KDJS64P;'http:\/\/172.17.116.10/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS64PI;172.17.216.10;502;0;1;2;monitor;
KDJS65L;KDJS65L;'http:\/\/172.17.116.11/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS65LI;172.17.216.11;502;0;1;2;monitor;
KDJS66P;KDJS66P;'http:\/\/172.17.116.12/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS66PI;172.17.216.12;502;0;1;2;monitor;
KDJS01P;KDJS01P;'http:\/\/172.17.110.21/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS01PI;172.17.210.21;502;0;1;2;monitor;
KDJS02L;KDJS02L;'http:\/\/172.17.110.22/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS02LI;172.17.210.22;502;0;1;2;monitor;
KDJS03P;KDJS03P;'http:\/\/172.17.110.23/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS03PI;172.17.210.23;502;0;1;2;monitor;
KDJS04P;KDJS04P;'http:\/\/172.17.108.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS04PI;172.17.208.1;502;0;1;2;monitor;
KDJS05L;KDJS05L;'http:\/\/172.17.108.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS05LI;172.17.208.2;502;0;1;2;monitor;
KDJS06L;KDJS06L;'http:\/\/172.17.108.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS06LI;172.17.208.3;502;0;1;2;monitor;
KDJS07L;KDJS07L;'http:\/\/172.17.108.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS07LM;172.17.208.4;502;0;1;2;monitor;
KDJS08P;KDJS08P;'http:\/\/172.17.108.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS08PM;172.17.208.5;502;0;1;2;monitor;
KDJS09L;KDJS09L;'http:\/\/172.17.109.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS09LI;172.17.209.1;502;0;1;2;monitor;
KDJS10P;KDJS10P;'http:\/\/172.17.109.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS10PI;172.17.209.2;502;0;1;2;monitor;
KDJS11;KDJS11;'http:\/\/172.17.109.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS11M;172.17.209.3;502;0;1;2;monitor;
KDJS12;KDJS12;'http:\/\/172.17.109.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS12M;172.17.209.4;502;0;1;2;monitor;
KDJS13;KDJS13;'http:\/\/172.17.109.14/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS13M;172.17.209.14;502;0;1;2;monitor;
KDJS14;KDJS14;'http:\/\/172.17.109.15/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS14M;172.17.209.15;502;0;1;2;monitor;
KDJS15;KDJS15;'http:\/\/172.17.109.21/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS15M;172.17.209.21;502;0;1;2;monitor;
KDJS16;KDJS16;'http:\/\/172.17.109.22/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS16M;172.17.209.22;502;0;1;2;monitor;
KDJS17;KDJS17;'http:\/\/172.17.110.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS17M;172.17.210.3;502;0;1;2;monitor;
KDJS18;KDJS18;'http:\/\/172.17.110.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS18M;172.17.210.4;502;0;1;2;monitor;
KDJS19;KDJS19;'http:\/\/172.17.110.11/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS19M;172.17.210.11;502;0;1;2;monitor;
KDJS20;KDJS20;'http:\/\/172.17.110.18/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS20M;172.17.210.18;502;0;1;2;monitor;
KDJS21;KDJS21;'http:\/\/172.17.110.19/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS21M;172.17.210.19;502;0;1;2;monitor;
KDJS22P;KDJS22P;'http:\/\/172.17.110.20/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS22PI;172.17.210.20;502;0;1;2;monitor;
KDJS23L;KDJS23L;'http:\/\/172.17.110.24/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS23LI;172.17.210.24;502;0;1;2;monitor;
KDSR01P;KDSR01P;'http:\/\/172.17.116.14/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCKDSR01P;172.17.216.14;502;0;1;2;monitor;
KDSR02L;KDSR02L;'http:\/\/172.17.116.15/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCKDSR02L;172.17.216.15;502;0;1;2;monitor;
KDSR03P;KDSR03P;'http:\/\/172.17.117.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR03PM;172.17.217.1;502;0;1;2;monitor;
KDSR04P;KDSR04P;'http:\/\/172.17.117.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR04PM;172.17.217.2;502;0;1;2;monitor;
KDSR04.1P;KDSR04.1P;'http:\/\/172.17.117.8/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR04.1PM;172.17.217.8;502;0;1;2;monitor;
KDSR05P;KDSR05P;'http:\/\/172.17.117.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR05PI;172.17.217.3;502;0;1;2;monitor;
KDSR06P;KDSR06P;'http:\/\/172.17.117.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR06PI;172.17.217.4;502;0;1;2;monitor;
KDSR07P;KDSR07P;'http:\/\/172.17.117.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR07PM;172.17.217.5;502;0;1;2;monitor;
KDSR08P;KDSR08P;'http:\/\/172.17.117.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR08PM;172.17.217.6;502;0;1;2;monitor;
KDSR09P;KDSR09P;'http:\/\/172.17.117.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDSR09PM;172.17.217.7;502;0;1;2;monitor;
