device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNJS.4D;RNJS.4D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD11;192.168.88.189;502;monitor;;5;4
RNJS.5D;RNJS.5D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD13;192.168.88.189;502;monitor;;5;4
RNJS.6D;RNJS.6D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD15;192.168.88.189;502;monitor;;5;4
RNJS.8D;RNJS.8D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD20;192.168.88.189;502;monitor;;5;4
RNJS.9D;RNJS.9D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD23;192.168.88.189;502;monitor;;5;4
RNJS.10D;RNJS.10D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD26;192.168.88.189;502;monitor;;5;4
RNJS.11D;RNJS.11D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD29;192.168.88.189;502;monitor;;5;4
RNJS.3E;RNJS.3E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRSPS405JSPP;192.168.88.189;502;monitor;;5;4
RNSR.2C;RNSR.2C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR05PI;192.168.88.189;502;monitor;;5;4
RNSR.1D;RNSR.1D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR06PI;192.168.88.189;502;monitor;;5;4
RNSR.3D;RNSR.3D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR07PM;192.168.88.189;502;monitor;;5;4
RNSR.2E;RNSR.2E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR08PM;192.168.88.189;502;monitor;;5;4
RNSR.2F;RNSR.2F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR12LI;192.168.88.189;502;monitor;;5;4
RNSR.3F;RNSR.3F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR11LI;192.168.88.189;502;monitor;;5;4
RNSR.5F;RNSR.5F;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDSR13LI;192.168.88.189;502;monitor;;5;4
RNMP.1A;RNMP.1A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRMP02;192.168.88.189;502;monitor;;5;4
RNMP.2A;RNMP.2A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDMP02M;192.168.88.189;502;monitor;;5;4
RNPK.2A;RNPK.2A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRNRSPK03L;192.168.88.189;502;monitor;;5;4
RNPK.3A;RNPK.3A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDPK04LM;192.168.88.189;502;monitor;;5;4
RNPK.1C;RNPK.1C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDPK08LM;192.168.88.189;502;monitor;;5;4
RNPK.1E;RNPK.1E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDPK12LM;192.168.88.189;502;monitor;;5;4
RNPK.3E;RNPK.3E;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDPK13LM;192.168.88.189;502;monitor;;5;4
