alias;measure;offset;;;
RV-SEC-2-DET-3CA-OUT;vehvel15;379;;;
RV-SEC-2-DET-3CA-OUT;vehvel16;380;;;
RV-SEC-2-DET-4CA-OUT;periodo_integracion;381;;;
RV-SEC-2-DET-4CA-OUT;fallo_datos;382;;;
RV-SEC-2-DET-4CA-OUT;numero_detector;383;;;
RV-SEC-2-DET-4CA-OUT;intensidad_total;384;;;
RV-SEC-2-DET-4CA-OUT;ocupacion_espira_cabeza;385;;;
RV-SEC-2-DET-4CA-OUT;deteccion_congestion;386;;;
RV-SEC-2-DET-4CA-OUT;deteccion_intensidad_inversa;387;;;
RV-SEC-2-DET-4CA-OUT;sentido_circulacion;388;;;
RV-SEC-2-DET-4CA-OUT;velocidad_media;389;;;
RV-SEC-2-DET-4CA-OUT;longitud_media;390;;;
RV-SEC-2-DET-4CA-OUT;distancia_media;391;;;
RV-SEC-2-DET-4CA-OUT;vehlong1;392;;;
RV-SEC-2-DET-4CA-OUT;vehlong2;393;;;
RV-SEC-2-DET-4CA-OUT;vehlong3;394;;;
RV-SEC-2-DET-4CA-OUT;vehlong4;395;;;
RV-SEC-2-DET-4CA-OUT;vehlong5;396;;;
RV-SEC-2-DET-4CA-OUT;vehlong6;397;;;
RV-SEC-2-DET-4CA-OUT;vehlong7;398;;;
RV-SEC-2-DET-4CA-OUT;vehlong8;399;;;
RV-SEC-2-DET-4CA-OUT;vehlong9;400;;;
RV-SEC-2-DET-4CA-OUT;vehlong10;401;;;
RV-SEC-2-DET-4CA-OUT;vehlong11;402;;;
RV-SEC-2-DET-4CA-OUT;vehlong12;403;;;
RV-SEC-2-DET-4CA-OUT;vehlong13;404;;;
RV-SEC-2-DET-4CA-OUT;vehlong14;405;;;
RV-SEC-2-DET-4CA-OUT;vehlong15;406;;;
RV-SEC-2-DET-4CA-OUT;vehlong16;407;;;
RV-SEC-2-DET-4CA-OUT;vehvel1;408;;;
RV-SEC-2-DET-4CA-OUT;vehvel2;409;;;
RV-SEC-2-DET-4CA-OUT;vehvel3;410;;;
RV-SEC-2-DET-4CA-OUT;vehvel4;411;;;
RV-SEC-2-DET-4CA-OUT;vehvel5;412;;;
RV-SEC-2-DET-4CA-OUT;vehvel6;413;;;
RV-SEC-2-DET-4CA-OUT;vehvel7;414;;;
RV-SEC-2-DET-4CA-OUT;vehvel8;415;;;
RV-SEC-2-DET-4CA-OUT;vehvel9;416;;;
RV-SEC-2-DET-4CA-OUT;vehvel10;417;;;
RV-SEC-2-DET-4CA-OUT;vehvel11;418;;;
RV-SEC-2-DET-4CA-OUT;vehvel12;419;;;
RV-SEC-2-DET-4CA-OUT;vehvel13;420;;;
RV-SEC-2-DET-4CA-OUT;vehvel14;421;;;
RV-SEC-2-DET-4CA-OUT;vehvel15;422;;;
RV-SEC-2-DET-4CA-OUT;vehvel16;423;;;
MM-SEC-1-DET-1CA-IN;periodo_integracion;424;;;
MM-SEC-1-DET-1CA-IN;fallo_datos;425;;;
MM-SEC-1-DET-1CA-IN;numero_detector;426;;;
MM-SEC-1-DET-1CA-IN;intensidad_total;427;;;
MM-SEC-1-DET-1CA-IN;ocupacion_espira_cabeza;428;;;
MM-SEC-1-DET-1CA-IN;deteccion_congestion;429;;;
MM-SEC-1-DET-1CA-IN;deteccion_intensidad_inversa;430;;;
MM-SEC-1-DET-1CA-IN;sentido_circulacion;431;;;
MM-SEC-1-DET-1CA-IN;velocidad_media;432;;;
MM-SEC-1-DET-1CA-IN;longitud_media;433;;;
MM-SEC-1-DET-1CA-IN;distancia_media;434;;;
MM-SEC-1-DET-1CA-IN;vehlong1;435;;;
MM-SEC-1-DET-1CA-IN;vehlong2;436;;;
MM-SEC-1-DET-1CA-IN;vehlong3;437;;;
MM-SEC-1-DET-1CA-IN;vehlong4;438;;;
MM-SEC-1-DET-1CA-IN;vehlong5;439;;;
MM-SEC-1-DET-1CA-IN;vehlong6;440;;;
MM-SEC-1-DET-1CA-IN;vehlong7;441;;;
MM-SEC-1-DET-1CA-IN;vehlong8;442;;;
MM-SEC-1-DET-1CA-IN;vehlong9;443;;;
MM-SEC-1-DET-1CA-IN;vehlong10;444;;;
MM-SEC-1-DET-1CA-IN;vehlong11;445;;;
MM-SEC-1-DET-1CA-IN;vehlong12;446;;;
MM-SEC-1-DET-1CA-IN;vehlong13;447;;;
MM-SEC-1-DET-1CA-IN;vehlong14;448;;;
MM-SEC-1-DET-1CA-IN;vehlong15;449;;;
MM-SEC-1-DET-1CA-IN;vehlong16;450;;;
MM-SEC-1-DET-1CA-IN;vehvel1;451;;;
MM-SEC-1-DET-1CA-IN;vehvel2;452;;;
MM-SEC-1-DET-1CA-IN;vehvel3;453;;;
MM-SEC-1-DET-1CA-IN;vehvel4;454;;;
MM-SEC-1-DET-1CA-IN;vehvel5;455;;;
MM-SEC-1-DET-1CA-IN;vehvel6;456;;;
MM-SEC-1-DET-1CA-IN;vehvel7;457;;;
MM-SEC-1-DET-1CA-IN;vehvel8;458;;;
MM-SEC-1-DET-1CA-IN;vehvel9;459;;;
MM-SEC-1-DET-1CA-IN;vehvel10;460;;;
MM-SEC-1-DET-1CA-IN;vehvel11;461;;;
MM-SEC-1-DET-1CA-IN;vehvel12;462;;;
MM-SEC-1-DET-1CA-IN;vehvel13;463;;;
MM-SEC-1-DET-1CA-IN;vehvel14;464;;;
MM-SEC-1-DET-1CA-IN;vehvel15;465;;;
MM-SEC-1-DET-1CA-IN;vehvel16;466;;;
