alias;command;offset;;;;
RESERVED;RESERVED;8218;;;;
RESERVED;RESERVED;8219;;;;
RV-SMF-AA-1CA;sem_cmd;8220;;;;
RV-SMF-AA-1MA;sem_cmd;8221;;;;
RV-SMF-RR-1CA;sem_cmd;8222;;;;
RV-SMF-RR-1MA;sem_cmd;8223;;;;
MM-SMF-AA-1CA;sem_cmd;8224;;;;
MM-SMF-AA-1MA;sem_cmd;8225;;;;
MM-SMF-RR-1CA;sem_cmd;8226;;;;
MM-SMF-RR-1MA;sem_cmd;8227;;;;
LQ-SMF-AA-1MA;sem_cmd;8228;;;;
LQ-SMF-AA-2MA;sem_cmd;8229;;;;
LQ-SMF-AA-1CA;sem_cmd;8230;;;;
LQ-SMF-RR-1MA;sem_cmd;8231;;;;
LQ-SMF-RR-1CA;sem_cmd;8232;;;;
CH-SMF-AA-1MA;sem_cmd;8233;;;;
CH-SMF-AA-1CA;sem_cmd;8234;;;;
CH-SMF-RR-1MA;sem_cmd;8235;;;;
CH-SMF-RR-1CA;sem_cmd;8236;;;;
CAS-SMF-AA-CA;sem_cmd;8237;;;;
CAS-SMF-AA-MA;sem_cmd;8238;;;;
COR-SMF-AA-1CA;sem_cmd;8239;;;;
COR-SMF-AA-1MA;sem_cmd;8240;;;;
STM2-SMF-AA-1MA;sem_cmd;8241;;;;
STM2-SMF-AA-1CA;sem_cmd;8242;;;;
NG-SMF-AA-1MA;sem_cmd;8243;;;;
NG-SMF-AA-1CA;sem_cmd;8244;;;;
RESERVED;RESERVED;8245;;;;
RESERVED;RESERVED;8246;;;;
RESERVED;RESERVED;8247;;;;
RESERVED;RESERVED;8248;;;;
RESERVED;RESERVED;8249;;;;
RV-CONT-A3;state_cmd;8250;;;;
RV-CONT-A4;state_cmd;8251;;;;
RV-CONT-A5;state_cmd;8252;;;;
RV-CONT-A6;state_cmd;8253;;;;
RV-CONT-A10;state_cmd;8254;;;;
RV-CONT-A11;state_cmd;8255;;;;
RV-CONT-A12;state_cmd;8256;;;;
