item;alias;description;sessionuid;road;stretchs;pk;sentido
84;LQ-MAG-CS-EDIF-ITS;I.MAG.II, 16A, I.DIF.II, 25A 30mA, AC;LQ-MAG-CS-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
85;LQ-MAG-A1-EDIF-ITS;I.Autom.IV, In=100 A, Ireg=100 A, Rele y Trans., Dif:30 mA+ AC, Curvas B+C+D;LQ-MAG-A1-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
86;LQ-MAG-E1-EDIF-ITS;I.Autom.IV, In=100 A, Ireg=100 A, Rele y Trans., Dif:30 mA+ AC, Curvas B+C+D;LQ-MAG-E1-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
87;LQ-MAG-F1-EDIF-ITS;I.Autom.IV, In=100 A, Ireg=100 A, Rele y Trans., Dif:30 mA+ AC, Curvas B+C+D;LQ-MAG-F1-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
88;LQ-MAG-F2-EDIF-ITS;I.Autom.IV, In=100 A, Ireg=100 A, Rele y Trans., Dif:30 mA+ AC, Curvas B+C+D;LQ-MAG-F2-EDIF-ITS;Carretera Tunel;Carretera;166+727;CA
89;LQ-INT-GEN-EDIF-PCI;LQ-INT-GEN-EDIF-PCI;LQ-INT-GEN-EDIF-PCI;Carretera Tunel;Carretera;166+727;CA
90;LQ-MAG-ITS1;LQ-MAG-ITS1;LQ-MAG-ITS1;Carretera Tunel;Carretera;166+727;CA
91;LQ-INT-ITS1;LQ-INT-ITS1;LQ-INT-ITS1;Carretera Tunel;Carretera;166+727;CA
92;LQ-MAGDIF-BF10;LQ-MAGDIF-BF10;LQ-MAGDIF-BF10;Carretera Tunel;Carretera;166+727;CA
93;LQ-MAGDIF-BF11;LQ-MAGDIF-BF11;LQ-MAGDIF-BF11;Carretera Tunel;Carretera;166+727;CA
94;LQ-MAGDIF-BF13-2;LQ-MAGDIF-BF13-2;LQ-MAGDIF-BF13-2;Carretera Tunel;Carretera;166+727;CA
95;LQ-MAGDIF-BF13-3;LQ-MAGDIF-BF13-3;LQ-MAGDIF-BF13-3;Carretera Tunel;Carretera;166+727;CA
96;LQ-MAGDIF-BF13-4;LQ-MAGDIF-BF13-4;LQ-MAGDIF-BF13-4;Carretera Tunel;Carretera;166+727;CA
97;LQ-MAGDIF-BF13-5;LQ-MAGDIF-BF13-5;LQ-MAGDIF-BF13-5;Carretera Tunel;Carretera;166+727;CA
98;LQ-MAGDIF-BF13-6;LQ-MAGDIF-BF13-6;LQ-MAGDIF-BF13-6;Carretera Tunel;Carretera;166+727;CA
99;LQ-MAGDIF-BF13-7;LQ-MAGDIF-BF13-7;LQ-MAGDIF-BF13-7;Carretera Tunel;Carretera;166+727;CA
100;LQ-MAGDIF-BF13-1;LQ-MAGDIF-BF13-1;LQ-MAGDIF-BF13-1;Carretera Tunel;Carretera;166+727;CA
101;LQ-MAGDIF-BF14-2;LQ-MAGDIF-BF14-2;LQ-MAGDIF-BF14-2;Carretera Tunel;Carretera;166+727;CA
102;LQ-MAGDIF-BF14-3;LQ-MAGDIF-BF14-3;LQ-MAGDIF-BF14-3;Carretera Tunel;Carretera;166+727;CA
103;LQ-MAGDIF-BF14-4;LQ-MAGDIF-BF14-4;LQ-MAGDIF-BF14-4;Carretera Tunel;Carretera;166+727;CA
104;LQ-MAGDIF-BF14-5;LQ-MAGDIF-BF14-5;LQ-MAGDIF-BF14-5;Carretera Tunel;Carretera;166+727;CA
105;LQ-MAGDIF-BF15;LQ-MAGDIF-BF15;LQ-MAGDIF-BF15;Carretera Tunel;Carretera;166+727;CA
106;LQ-MAGDIF-BF16;LQ-MAGDIF-BF16;LQ-MAGDIF-BF16;Carretera Tunel;Carretera;166+727;CA
107;LQ-MAGDIF-DET1-LAZO;LQ-MAGDIF-DET1-LAZO;LQ-MAGDIF-DET1-LAZO;Carretera Tunel;Carretera;166+727;CA
108;LQ-MAGDIF-METEO;LQ-MAGDIF-METEO;LQ-MAGDIF-METEO;Carretera Tunel;Carretera;166+727;CA
