item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param3_extension
196;3;ICCP-CAB-002;ICCP-CAB-002;ICCP-CAB-002;AVO;ICCP-ZON-002;Secc.02-256-07;6+220;;6220;22602
197;3;S2TN-CAB-021;S2TN-CAB-021;S2TN-CAB-021;AVO;S2TN-ZON-021;Secc.03-11-11;42+568;;6268;21021
198;3;S2TS-CAB-029;S2TS-CAB-029;S2TS-CAB-029;AVO;S2TS-ZON-029;Secc.02-10-05;42+568;;6268;22029
199;3;2E17-CAB-001;2E17-CAB-001;2E17-CAB-001;AVO;S2TN-ZON-021;Secc.03-11-10;42+580;;6280;21117
200;3;2E17-CAB-002;2E17-CAB-002;2E17-CAB-002;AVO;S2TS-ZON-029;Secc.02-10-06;42+580;;6280;22117
201;3;ICCP-CAB-003;ICCP-CAB-003;ICCP-CAB-003;AVO;ICCP-ZON-002;Secc.02-256-07;6+320;;6320;22603
202;3;S2TN-CAB-020;S2TN-CAB-020;S2TN-CAB-020;AVO;S2TN-ZON-019;Secc.03-11-11;42+668;;6368;21020
203;3;S2TS-CAB-030;S2TS-CAB-030;S2TS-CAB-030;AVO;S2TS-ZON-030;Secc.02-10-06;42+668;;6368;22030
204;3;S2TN-CAB-019;S2TN-CAB-019;S2TN-CAB-019;AVO;S2TN-ZON-018;Secc.03-11-11;42+768;;6468;21019
205;3;S2TS-CAB-031;S2TS-CAB-031;S2TS-CAB-031;AVO;S2TS-ZON-031;Secc.02-10-06;42+768;;6468;22031
206;3;2E18-CAB-001;2E18-CAB-001;2E18-CAB-001;AVO;S2TN-ZON-018;Secc.03-11-10;42+805;;6505;21118
207;3;2E18-CAB-002;2E18-CAB-002;2E18-CAB-002;AVO;S2TS-ZON-032;Secc.02-10-06;42+805;;6505;22118
