item;alias;description;sessionuid;road;stretchs;secc;pk;param5_pk_ini;param6_pk_end;dm;;;;
177;SIGO-ZON-002;SIGO-ZON-002;SIGO-ZON-002;AVO;SIGO-ZON-002;Secc.01-14-03;1+13;1+13;1+23;1320;;;;
178;SCNO-ZON-007;SCNO-ZON-007;SCNO-ZON-007;AVO;SCNO-ZON-007;Secc.01-25-01;0+55;0+55;0+65;590;;;;
179;SIVP-ZON-001;SIVP-ZON-001;SIVP-ZON-001;AVO;SIVP-ZON-001;Secc.03-15-12;2+06;2+06;2+155;2060;;;;
180;SIVP-ZON-002;SIVP-ZON-002;SIVP-ZON-002;AVO;SIVP-ZON-002;Secc.03-15-12;2+155;2+155;2+26;2155;;;;
181;SMPN-ZON-001;SMPN-ZON-001;SMPN-ZON-001;AVO;SMPN-ZON-001;Secc.02-303-05;0+05;0+05;0+15;50;;;;
182;SMPN-ZON-002;SMPN-ZON-002;SMPN-ZON-002;AVO;SMPN-ZON-002;Secc.02-303-05;0+15;0+15;0+25;150;;;;
183;SMPN-ZON-003;SMPN-ZON-003;SMPN-ZON-003;AVO;SMPN-ZON-003;Secc.02-303-05;0+25;0+25;0+35;250;;;;
184;SMPS-ZON-001;SMPS-ZON-001;SMPS-ZON-001;AVO;SMPS-ZON-001;Secc.03-252-10;0+03;0+03;0+13;30;;;;
185;SMPS-ZON-002;SMPS-ZON-002;SMPS-ZON-002;AVO;SMPS-ZON-002;Secc.03-252-10;0+13;0+13;0+23;130;;;;
186;SMPS-ZON-003;SMPS-ZON-003;SMPS-ZON-003;AVO;SMPS-ZON-003;Secc.03-252-10;0+23;0+23;0+33;230;;;;
187;SMPS-ZON-004;SMPS-ZON-004;SMPS-ZON-004;AVO;SMPS-ZON-004;Secc.03-252-10;0+33;0+33;0+43;330;;;;
188;SMPS-ZON-005;SMPS-ZON-005;SMPS-ZON-005;AVO;SMPS-ZON-005;Secc.03-252-10;0+43;0+43;0+53;430;;;;
189;SMPS-ZON-006;SMPS-ZON-006;SMPS-ZON-006;AVO;SMPS-ZON-006;Secc.03-252-10;0+53;0+53;0+63;530;;;;
190;SNUK-ZON-001;SNUK-ZON-001;SNUK-ZON-001;AVO;SNUK-ZON-001;Secc.03-45-11;85;0+09;0+19;85;;;;
191;SNUK-ZON-002;SNUK-ZON-002;SNUK-ZON-002;AVO;SNUK-ZON-002;Secc.03-45-11;185;0+19;0+29;185;;;;
192;SNUK-ZON-003;SNUK-ZON-003;SNUK-ZON-003;AVO;SNUK-ZON-003;Secc.03-45-11;285;0+29;0+39;285;;;;
193;SNKO-ZON-004;SNKO-ZON-004;SNKO-ZON-004;AVO;SNKO-ZON-004;Secc.03-45-11;0+385;0+385;0+49;385;;;;
194;SNKO-ZON-005;SNKO-ZON-005;SNKO-ZON-005;AVO;SNKO-ZON-005;Secc.03-45-11;0+49;0+49;0+585;490;;;;
195;SNKP-ZON-001;SNKP-ZON-001;SNKP-ZON-001;AVO;SNKP-ZON-001;Secc.03-43-11;0+01;0+01;0+11;10;;;;
196;SNKP-ZON-002;SNKP-ZON-002;SNKP-ZON-002;AVO;SNKP-ZON-002;Secc.03-43-11;0+11;0+11;0+21;110;;;;
197;SVIP-ZON-001;SVIP-ZON-001;SVIP-ZON-001;AVO;SVIP-ZON-001;Secc.03-15-12;2+06;2+06;2+155;2060;;;;
198;SVIP-ZON-002;SVIP-ZON-002;SVIP-ZON-002;AVO;SVIP-ZON-002;Secc.03-15-12;2+155;2+155;2+26;2155;;;;
199;ICEP_EXT;ICEP_EXT;ICEP_EXT;AVO;ICEP_EXT;;0;0;0;0;;;;
200;INKP_EXT;INKP_EXT;INKP_EXT;AVO;INKP_EXT;;0;0;0;0;;;;
202;IPRO_EXT;IPRO_EXT;IPRO_EXT;AVO;IPRO_EXT;;0;0;0;0;;;;
203;ICCO_EXT;ICCO_EXT;ICCO_EXT;AVO;ICCO_EXT;;0;0;0;0;;;;
204;ICCP_EXT;ICCP_EXT;ICCP_EXT;AVO;ICCP_EXT;;0;0;0;0;;;;
205;IBTO_EXT;IBTO_EXT;IBTO_EXT;AVO;IBTO_EXT;;0;0;0;0;;;;
206;SIGO_EXT;SIGO_EXT;SIGO_EXT;AVO;SIGO_EXT;;0;0;0;0;;;;
207;SBTP_EXT;SBTP_EXT;SBTP_EXT;AVO;SBTP_EXT;;0;0;0;0;;;;
208;SCNO_EXT;SCNO_EXT;SCNO_EXT;AVO;SCNO_EXT;;0;0;0;0;;;;
209;S1TN_EXT;S1TN_EXT;S1TN_EXT;AVO;S1TN_EXT;;0;0;0;0;;;;
210;SAPR_EXT;SAPR_EXT;SAPR_EXT;AVO;SAPR_EXT;;0;0;0;0;;;;
211;ICEO_EXT;ICEO_EXT;ICEO_EXT;AVO;ICEO_EXT;;0;0;0;0;;;;
212;IVEN_EXT;IVEN_EXT;IVEN_EXT;AVO;IVEN_EXT;;0;0;0;0;;;;
213;SBTP-ZON-003;SBTP-ZON-003;SBTP-ZON-003;AVO;SBTP-ZON-002;Secc.02-257-07;8+3;8+3;8+4;8300;;;;
214;SICO-ZON-004;SICO-ZON-004;SICO-ZON-004;AVO;SICO-ZON-003;Secc.02-260-06;0+43;0+43;0+53;430;;;;
