item;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
80;S2TS-VCH-606;S2TS-VCH-606;S2TS-VCH-606;AVO;S2TS-ZON-029;Secc.02-10-06;42+58;6280;
81;ICCP-VCH-706R;ICCP-VCH-706R;ICCP-VCH-706R;AVO;ICCP-ZON-001;Secc.02-256-07;6+33;6330;
82;S2TN-VCH-609;S2TN-VCH-609;S2TN-VCH-609;AVO;S2TN-ZON-017;Secc.03-11-10;42+85;6550;
83;S2TS-VCH-700A;S2TS-VCH-700A;S2TS-VCH-700A;AVO;S2TS-ZON-039;Secc.02-10-07;43+525;7225;
84;S2TS-VCH-700B;S2TS-VCH-700B;S2TS-VCH-700B;AVO;S2TS-ZON-039;Secc.02-10-07;43+525;7225;
85;IBTO-VCH-801R;IBTO-VCH-801R;IBTO-VCH-801R;AVO;IBTO-ZON-003;Secc.03-11-09;43+54;7240;
86;S2TS-VCH-708A;S2TS-VCH-708A;S2TS-VCH-708A;AVO;S2TS-ZON-041;Secc.02-10-07;43+7;7400;
87;S2TS-VCH-708B;S2TS-VCH-708B;S2TS-VCH-708B;AVO;S2TS-ZON-041;Secc.02-10-07;43+7;7400;
88;S2TN-VCH-701A;S2TN-VCH-701A;S2TN-VCH-701A;AVO;S2TN-ZON-009;Secc.03-11-09;43+75;7450;
89;S2TN-VCH-701B;S2TN-VCH-701B;S2TN-VCH-701B;AVO;S2TN-ZON-009;Secc.03-11-09;43+75;7450;
90;SBTP-VCH-802R;SBTP-VCH-802R;SBTP-VCH-802R;AVO;SBTP-ZON-001;Secc.02-10-07;44+3;8000;
91;S2TN-VCH-803;S2TN-VCH-803;S2TN-VCH-803;AVO;S2TN-ZON-003;Secc.03-11-08;44+3;8000;
92;S2TS-VCH-804A;S2TS-VCH-804A;S2TS-VCH-804A;AVO;S2TS-ZON-048;Secc.02-10-07;44+4;8100;
93;S2TS-VCH-804B;S2TS-VCH-804B;S2TS-VCH-804B;AVO;S2TS-ZON-048;Secc.02-10-07;44+4;8100;
