item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_protocol;param4_config_json;param6_cabinet
60;1;NRSR463L;NRSR463L;D4;D4_8:Cierna voda-Raca;;28+328;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRSR08P
61;1;NRLMP01P;NRLMP01P;R7;R7_1:Prievoz-Ketelec;;-0+193;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRMP01
62;2;NRLPK05L;NRLPK05L;R7;R7_1:Prievoz-Ketelec;;0+800;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK05L
63;2;NRLPK08P;NRLPK08P;R7;R7_1:Prievoz-Ketelec;;1+065;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK04L
64;2;NRLPK10L;NRLPK10L;R7;R7_1:Prievoz-Ketelec;;1+923;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK06L
65;2;NRLPK11P;NRLPK11P;R7;R7_1:Prievoz-Ketelec;;2+597;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK07L
66;2;NRLPK12L;NRLPK12L;R7;R7_1:Prievoz-Ketelec;;2+853;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK08L
67;2;NRLPK13L;NRLPK13L;R7;R7_1:Prievoz-Ketelec;;4+153;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK09L
68;2;NRLPK15P;NRLPK15P;R7;R7_1:Prievoz-Ketelec;;4+607;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK11L
69;2;NRLPK17P;NRLPK17P;R7;R7_1:Prievoz-Ketelec;;5+582;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK13L
70;2;NRLPK18L;NRLPK18L;R7;R7_1:Prievoz-Ketelec;;5+653;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK14L
71;2;NRLPK19P;NRLPK19P;R7;R7_1:Prievoz-Ketelec;;5+994;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRPK15L
72;1;NRLJS410P;NRLJS410P;D4;D4_2:Rusovce-Ketelec;;8+675;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS17P
73;2;NRLKD03L;NRLKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;7+210;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRKD03L
74;4;NRSKD05LB;NRSKD05LB;R7;R7_2:Ketelec-Dunajská Lužná;;7+769;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRKD05L
75;4;NRSKD07LB;NRSKD07LB;R7;R7_2:Ketelec-Dunajská Lužná;;8+512;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRKD07L
76;4;PSJS488LB;PSJS488LB;D4;D4_3:Ketelec-Rovinca;;9+776;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS21P
77;4;PSJS489LB;PSJS489LB;D4;D4_3:Ketelec-Rovinca;;10+877;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRSPSJS489L
78;4;PSJS418PB;PSJS418PB;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+613;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS42P
79;4;PSJS419PB;PSJS419PB;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+019;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS45P
80;4;PSJS400B;PSJS400B;D4;D4_1:Jarovce-Rusovce;;0+810-ST-HR;-;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNR400
81;4;PSJS402PB;PSJS402PB;D4;D4_2:Rusovce-Ketelec;;6+852;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS12P
82;4;PSJS403PB;PSJS403PB;D4;D4_2:Rusovce-Ketelec;;8+153;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS15P
83;4;PSSR480LB;PSSR480LB;D4;D4_7:Ivanka sever-Cierna voda;;25+544;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRSR02P
84;4;PSSR479LB;PSSR479LB;D4;D4_7:Ivanka sever-Cierna voda;;26+153;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRSR04P
85;4;NRSMP02PB;NRSMP02PB;R7;R7_1:Prievoz-Ketelec;;0+383;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRMP02
86;4;NRSPK03LB;NRSPK03LB;R7;R7_1:Prievoz-Ketelec;;0+832;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNSPK03L
87;4;NRSPK09LB;NRSPK09LB;R7;R7_1:Prievoz-Ketelec;;1+404;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRPK05L
88;4;NRSPK14PB;NRSPK14PB;R7;R7_1:Prievoz-Ketelec;;4+247;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRPK10L
89;4;NRSPK16PB;NRSPK16PB;R7;R7_1:Prievoz-Ketelec;;5+032;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRPK12L
94;4;PSJS496LB;PSJS496LB;D4;D4_1:Jarovce-Rusovce;;3+313;L;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS06L
95;4;PSJS495LB;PSJS495LB;D4;D4_1:Jarovce-Rusovce;;4+289;P;Lacroix;MAT_192_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4},{""zone"":2,""type"":""text""},{""zone"":3,""type"":""text""}]";RNRJS09L
97;5;NRSKD05LM;NRSKD05LM;R7;R7_2:Ketelec-Dunajská Lužná;;7+769;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRKD05L
98;5;NRSKD07LM;NRSKD07LM;R7;R7_2:Ketelec-Dunajská Lužná;;8+512;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRKD07L
99;5;PSJS488LM;PSJS488LM;D4;D4_3:Ketelec-Rovinca;;9+776;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS21P
100;5;PSJS489LM;PSJS489LM;D4;D4_3:Ketelec-Rovinca;;10+877;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRSPSJS489L
101;5;PSJS418PM;PSJS418PM;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+613;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS42P
102;5;PSJS419PM;PSJS419PM;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+019;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS45P
103;5;PSJS400M;PSJS400M;D4;D4_1:Jarovce-Rusovce;;0+810-ST-HR;-;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNR400
108;5;PSJS496LM;PSJS496LM;D4;D4_1:Jarovce-Rusovce;;3+313;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS06L
109;5;PSJS495LM;PSJS495LM;D4;D4_1:Jarovce-Rusovce;;4+289;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS09L
110;5;PSJS402PM;PSJS402PM;D4;D4_2:Rusovce-Ketelec;;6+852;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS12P
111;5;PSJS403PM;PSJS403PM;D4;D4_2:Rusovce-Ketelec;;8+153;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRJS15P
112;5;PSSR480LM;PSSR480LM;D4;D4_7:Ivanka sever-Cierna voda;;25+544;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRSR02P
113;5;PSSR479LM;PSSR479LM;D4;D4_7:Ivanka sever-Cierna voda;;26+153;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRSR04P
114;5;NRSMP02PM;NRSMP02PM;R7;R7_1:Prievoz-Ketelec;;0+383;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRMP02
115;5;NRSPK03LM;NRSPK03LM;R7;R7_1:Prievoz-Ketelec;;0+832;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNSPK03L
116;5;NRSPK09LM;NRSPK09LM;R7;R7_1:Prievoz-Ketelec;;1+404;L;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRPK05L
117;5;NRSPK14PM;NRSPK14PM;R7;R7_1:Prievoz-Ketelec;;4+247;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRPK10L
118;5;NRSPK16PM;NRSPK16PM;R7;R7_1:Prievoz-Ketelec;;5+032;P;Lacroix;MAT_128_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""dual"",""vms_group_id"":5}]";RNRPK12L
120;6;NRSPS400BPS;NRSPS400BPS;D4;D4_1:Jarovce-Rusovce;;0+810-ST-HR;-;Lacroix;MAT_64_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":6}]";RNR400
121;6;NRSPK03LS;NRSPK03LS;R7;R7_1:Prievoz-Ketelec;;0+832;L;Lacroix;MAT_64_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":6}]";RNSPK03L
122;6;NRSPK09LS;NRSPK09LS;R7;R7_1:Prievoz-Ketelec;;1+404;L;Lacroix;MAT_64_64;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":6}]";RNRPK05L
123;7;PDZTKD01P;PDZTKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;8+517;P;Lacroix;METEOROLOGICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":7},{""zone"":2,""type"":""graphic"",""vms_group_id"":7},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""},{""zone"":6,""type"":""text""}]";RNRKD07L
124;7;PDZTDH02P;PDZTDH02P;R7;R7_3:Dunajská Lužná-Šamorín;;17+562;P;Lacroix;METEOROLOGICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":7},{""zone"":2,""type"":""graphic"",""vms_group_id"":7},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""},{""zone"":6,""type"":""text""}]";MZDH01L
125;7;PDZTDH01L;PDZTDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;17+566;L;Lacroix;METEOROLOGICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":7},{""zone"":2,""type"":""graphic"",""vms_group_id"":7},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""},{""zone"":6,""type"":""text""}]";MZDH01L
126;7;PDZTDH03P;PDZTDH03P;R7;R7_4:Šamorín-Holice;;21+121;P;Lacroix;METEOROLOGICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":7},{""zone"":2,""type"":""graphic"",""vms_group_id"":7},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""},{""zone"":6,""type"":""text""}]";RPTZDH02L
127;7;PDZTDH14L;PDZTDH14L;R7;R7_4:Šamorín-Holice;;30+412;L;Lacroix;METEOROLOGICO;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":7},{""zone"":2,""type"":""graphic"",""vms_group_id"":7},{""zone"":3,""type"":""text""},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""text""},{""zone"":6,""type"":""text""}]";MZDH03L
128;8;PDZKD01P;PDZKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;11+352;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZKD02L
129;8;PDZKD02P;PDZKD02P;R7;R7_2:Ketelec-Dunajská Lužná;;11+352;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZKD02L
130;8;PDZKD03L;PDZKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;12+252;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";RNRKD10L
131;8;PDZKD04L;PDZKD04L;R7;R7_2:Ketelec-Dunajská Lužná;;12+252;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";RNRKD10L
132;8;PDZDH23P;PDZDH23P;D4;R7_4:Šamorín-Holice;;20+794;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH02L
133;8;PDZDH24P;PDZDH24P;D4;R7_4:Šamorín-Holice;;20+794;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH02L
134;8;PDZDH21L;PDZDH21L;D4;R7_4:Šamorín-Holice;;20+798;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH02L
135;8;PDZDH22L;PDZDH22L;D4;R7_4:Šamorín-Holice;;20+798;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH02L
136;8;PDZDH27P;PDZDH27P;D4;R7_4:Šamorín-Holice;;30+328;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH03L
137;8;PDZDH28P;PDZDH28P;D4;R7_4:Šamorín-Holice;;30+328;P;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH03L
138;8;PDZDH25L;PDZDH25L;D4;R7_4:Šamorín-Holice;;30+330;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH03L
139;8;PDZDH26L;PDZDH26L;D4;R7_4:Šamorín-Holice;;30+330;L;Lacroix;SNOW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":8}]";MZDH03L
140;13;PDZDH04bP;PDZDH04bP;R7;R7_4:Šamorín-Holice;;26+616;P;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";R3DDH02P
141;13;PDZDH13L;PDZDH13L;R7;R7_4:Šamorín-Holice;;30+042;L;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";RPDZDH10L
142;13;PDZJS01Pb;PDZJS01Pb;D4;D4_3:Ketelec-Rovinca;;10+484;P;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";RPDZJS01P
143;13;PDZJS02Pb;PDZJS02Pb;D4;D4_3:Ketelec-Rovinca;;10+484;P;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";RPDZJS01P
144;13;PDZJS09Lb;PDZJS09Lb;D4;D4_3:Ketelec-Rovinca;;11+534;L;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";RPDZJS06L
145;13;PDZJS10Lb;PDZJS10Lb;D4;D4_3:Ketelec-Rovinca;;11+534;L;Lacroix;OVERWEIGHT;NTCIP_Lacroix;"[{""zone"":1,""type"":""text""}]";RPDZJS06L
146;14;PDZDH07P;PDZDH07P;R7;R7_4:Šamorín-Holice;;SERVICE AREA;-;Lacroix;RED BEACON;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":14},{""zone"":2,""type"":""text""}]";RPDZDH06P
147;14;PDZDH10L;PDZDH10L;R7;R7_4:Šamorín-Holice;;SERVICE AREA;-;Lacroix;RED BEACON;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":14},{""zone"":2,""type"":""text""}]";RPDZDH08L
148;14;PDZJS05P;PDZJS05P;D4;D4_3:Ketelec-Rovinca;;10+923;P;Lacroix;RED BEACON;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":14},{""zone"":2,""type"":""text""}]";RPDZJS03P
149;14;PDZJS06L;PDZJS06L;D4;D4_3:Ketelec-Rovinca;;11+108;L;Lacroix;RED BEACON;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":14},{""zone"":2,""type"":""text""}]";RNRJS25P
150;15;PDZDH04aP;PDZDH04aP;R7;R7_4:Šamorín-Holice;;26+616;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";R3DDH02P
151;15;PDZDH05P;PDZDH05P;R7;R7_4:Šamorín-Holice;;27+644;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH03L
152;15;PDZDH06P;PDZDH06P;R7;R7_4:Šamorín-Holice;;28+409;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH04L
153;15;PDZDH08P;PDZDH08P;R7;R7_4:Šamorín-Holice;;SERVICE AREA;P;Lacroix;BLUE ARROW;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":15},{""zone"":2,""type"":""graphic"",""vms_group_id"":15},{""zone"":3,""type"":""text""}]";RPDZDH06P
