device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command
LQ-TV-5MA;LQ-TV-5MA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-6MA;LQ-TV-6MA;18;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-7MA;LQ-TV-7MA;19;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-8MA;LQ-TV-8MA;20;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-9MA;LQ-TV-9MA;21;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-1CA;CH-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-2CA;CH-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-3CA;CH-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-4CA;CH-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-5CA;CH-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-6CA;CH-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-7CA;CH-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-8CA;CH-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-1GA;CH-TV-1GA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-2GA;CH-TV-2GA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-1MA;CH-TV-1MA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-2MA;CH-TV-2MA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-3MA;CH-TV-3MA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-4MA;CH-TV-4MA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-5MA;CH-TV-5MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-6MA;CH-TV-6MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-7MA;CH-TV-7MA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
CH-TV-8MA;CH-TV-8MA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-1MA;COR-TV-1MA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-2MA;COR-TV-2MA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-3MA;COR-TV-3MA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-4MA;COR-TV-4MA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-5MA;COR-TV-5MA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-6MA;COR-TV-6MA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-7MA;COR-TV-7MA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
COR-TV-8MA;COR-TV-8MA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
