device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
CH-MAGDIF-A18-SM;CH-MAGDIF-A18-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;18;monitor;
CH-MAGDIF-A11-SM;CH-MAGDIF-A11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;20;monitor;
CH-MAGDIF-A13-SM;CH-MAGDIF-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;22;monitor;
CH-MAGDIF-A15-SM;CH-MAGDIF-A15-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;24;monitor;
CH-INT-CSA-SAI;CH-INT-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;32;monitor;
CH-MAGDIF-MAN-CSA-SAI;CH-MAGDIF-MAN-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;33;monitor;
CH-MAGDIF-AA1-SM;CH-MAGDIF-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;34;monitor;
CH-MAGDIF-AA2-SM;CH-MAGDIF-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;36;monitor;
CH-MAGDIF-AA12-SC;CH-MAGDIF-AA12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;38;monitor;
CH-MAGDIF-AA9-SC;CH-MAGDIF-AA9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;40;monitor;
CH-MAGDIF-AE10-SC;CH-MAGDIF-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;44;monitor;
CH-MAGDIF-AE17-SM;CH-MAGDIF-AE17-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;42;monitor;
CH-MAGDIF-AE19-SC;CH-MAGDIF-AE19-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;48;monitor;
CH-MAGDIF-AE20-SM;CH-MAGDIF-AE20-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;46;monitor;
CH-MAGDIF-A19-SC;CH-MAGDIF-A19-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;50;monitor;
CH-MAGDIF-A20-SC;CH-MAGDIF-A20-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;52;monitor;
CH-MAGDIF-A21-SM;CH-MAGDIF-A21-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;54;monitor;
CH-MAGDIF-A22-SM;CH-MAGDIF-A22-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;56;monitor;
CH-INT-CGBT;CH-INT-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;62;monitor;
CH-INT-CSA-RED-CGBT;CH-INT-CSA-RED-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;63;monitor;
CH-MAGDIF-SER-AUX-GE-CGBT;CH-MAGDIF-SER-AUX-GE-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;67;monitor;
CH-INT-CS-SAI-CGBT;CH-INT-CS-SAI-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;70;monitor;
CH-INT-CSV-SM-CGBT;CH-INT-CSV-SM-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;71;monitor;
CH-INT-CSV-SC-CGBT;CH-INT-CSV-SC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;72;monitor;
CH-INT-CS-PCI-CGBT;CH-INT-CS-PCI-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;73;monitor;
CH-INT-BAT-COND-CGBT;CH-INT-BAT-COND-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;74;monitor;
CH-MAGDIF-CS-BT-CGBT;CH-MAGDIF-CS-BT-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;75;monitor;
CH-MAGDIF-CS-CT-CGBT;CH-MAGDIF-CS-CT-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;76;monitor;
CH-INT-CS-ITS1;CH-INT-CS-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;6;monitor;
CH-MAGDIF-MAN-CS-ITS1;CH-MAGDIF-MAN-CS-ITS1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;7;monitor;
CH-MAGDIF-BF10;CH-MAGDIF-BF10;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;8;monitor;
CH-MAGDIF-BF11;CH-MAGDIF-BF11;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;9;monitor;
CH-MAGDIF-BF13.1;CH-MAGDIF-BF13.1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;10;monitor;
CH-MAGDIF-BF13.2;CH-MAGDIF-BF13.2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;11;monitor;
CH-MAGDIF-BF13.3;CH-MAGDIF-BF13.3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;12;monitor;
CH-MAGDIF-BF14.1;CH-MAGDIF-BF14.1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;13;monitor;
CH-MAGDIF-BF14.2;CH-MAGDIF-BF14.2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;14;monitor;
CH-MAGDIF-BF14.3;CH-MAGDIF-BF14.3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;15;monitor;
CH-MAGDIF-BF15;CH-MAGDIF-BF15;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;16;monitor;
CH-MAGDIF-METEO;CH-MAGDIF-METEO;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;18;monitor;
CH-MAGDIF-BF19;CH-MAGDIF-BF19;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;19;monitor;
CH-MAGDIF-BF20;CH-MAGDIF-BF20;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;20;monitor;
CH-MAGDIF-BF21;CH-MAGDIF-BF21;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;21;monitor;
CH-MAGDIF-BF22;CH-MAGDIF-BF22;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;22;monitor;
CH-MAGDIF-BF23;CH-MAGDIF-BF23;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;23;monitor;
CH-MAGDIF-BF24;CH-MAGDIF-BF24;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;24;monitor;
CH-MAGDIF-OP-MOVISTAR;CH-MAGDIF-OP-MOVISTAR;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;25;monitor;
CH-MAGDIF-BF26;CH-MAGDIF-BF26;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;26;monitor;
CH-MAGDIF-DET1-LAZO;CH-MAGDIF-DET1-LAZO;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;32;monitor;
CH-INT-CS-ITS2;CH-INT-CS-ITS2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;15;monitor;
CH-MAGDIF-MAN-CS-ITS2;CH-MAGDIF-MAN-CS-ITS2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;16;monitor;
CH-MAGDIF-BF28;CH-MAGDIF-BF28;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;18;monitor;
CH-MAGDIF-BF29;CH-MAGDIF-BF29;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;19;monitor;
CH-MAGDIF-BF30;CH-MAGDIF-BF30;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;21;monitor;
CH-MAGDIF-BF34;CH-MAGDIF-BF34;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;22;monitor;
CH-MAGDIF-BF32;CH-MAGDIF-BF32;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCE-1CA;192.168.9.39;502;23;monitor;
CH-INT-CS-SAI;CH-INT-CS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;0;monitor;
CH-MAGDIF-CSA-SAI-CS-SAI;CH-MAGDIF-CSA-SAI-CS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;1;monitor;
CH-MAGDIF-CS-ITS1-SAI;CH-MAGDIF-CS-ITS1-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;2;monitor;
CH-MAGDIF-CS-ITS2-SAI;CH-MAGDIF-CS-ITS2-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;3;monitor;
CH-MAGDIF-CSG-GAL-SAI;CH-MAGDIF-CSG-GAL-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;4;monitor;
CH-MAGDIF-CS-ITS-SAI;CH-MAGDIF-CS-ITS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;5;monitor;
CH-MAGDIF-CS-PCI-SAI;CH-MAGDIF-CS-PCI-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;40;monitor;
CH-MAGDIF-CS-BT;CH-MAGDIF-CS-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;152;monitor;
