item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;lane;on_change_measure;param1_brand;param2_model;param3_protocol;param4_config_json;param8_panel_code;dm
117;12;S2TN-AFL-042;S2TN-AFL-042;S2TN-AFL-042;AVO;S2TN-ZON-049;Secc.03-11-11;39+757;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3457
118;12;S2TN-AFL-043;S2TN-AFL-043;S2TN-AFL-043;AVO;S2TN-ZON-049;Secc.03-11-11;39+757;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3457
119;12;S2TS-AFL-004;S2TS-AFL-004;S2TS-AFL-004;AVO;S2TS-ZON-004;Secc.01-10-03;40+055;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3755
120;12;S2TS-AFL-005;S2TS-AFL-005;S2TS-AFL-005;AVO;S2TS-ZON-004;Secc.01-10-03;40+055;1002;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3755
121;12;S2TS-AFL-006;S2TS-AFL-006;S2TS-AFL-006;AVO;S2TS-ZON-004;Secc.01-10-03;40+055;1003;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3755
122;12;S2TN-AFL-038;S2TN-AFL-038;S2TN-AFL-038;AVO;S2TN-ZON-045;Secc.03-11-11;40+163;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3863
123;12;S2TN-AFL-039;S2TN-AFL-039;S2TN-AFL-039;AVO;S2TN-ZON-045;Secc.03-11-11;40+163;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3863
124;12;S2TN-AFL-040;S2TN-AFL-040;S2TN-AFL-040;AVO;S2TN-ZON-045;Secc.03-11-11;40+163;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3863
125;12;IPRO-AFL-001;IPRO-AFL-001;IPRO-AFL-001;AVO;IPRO-ZON-001;Secc.03-57-10;4+14;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4140
126;12;S2TS-AFL-007;S2TS-AFL-007;S2TS-AFL-007;AVO;S2TS-ZON-009;Secc.02-10-04;40+462;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4162
127;12;S2TS-AFL-008;S2TS-AFL-008;S2TS-AFL-008;AVO;S2TS-ZON-009;Secc.02-10-04;40+462;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4162
128;12;S2TS-AFL-009;S2TS-AFL-009;S2TS-AFL-009;AVO;S2TS-ZON-009;Secc.02-10-04;40+462;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4162
129;12;S2TN-AFL-034;S2TN-AFL-034;S2TN-AFL-034;AVO;S2TN-ZON-041;Secc.03-11-11;40+48;4;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4180
130;12;S2TN-AFL-035;S2TN-AFL-035;S2TN-AFL-035;AVO;S2TN-ZON-041;Secc.03-11-11;40+48;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4180
131;12;S2TN-AFL-036;S2TN-AFL-036;S2TN-AFL-036;AVO;S2TN-ZON-041;Secc.03-11-11;40+48;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4180
132;12;S2TN-AFL-037;S2TN-AFL-037;S2TN-AFL-037;AVO;S2TN-ZON-041;Secc.03-11-11;40+48;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4180
133;12;S2TS-AFL-010;S2TS-AFL-010;S2TS-AFL-010;AVO;S2TS-ZON-013;Secc.02-10-04;40+83;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4530
134;12;S2TS-AFL-011;S2TS-AFL-011;S2TS-AFL-011;AVO;S2TS-ZON-013;Secc.02-10-04;40+83;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4530
135;12;S2TS-AFL-012;S2TS-AFL-012;S2TS-AFL-012;AVO;S2TS-ZON-013;Secc.02-10-04;40+83;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4530
136;12;S2TN-AFL-031;S2TN-AFL-031;S2TN-AFL-031;AVO;S2TN-ZON-035;Secc.03-11-11;40+96;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4660
137;12;S2TN-AFL-032;S2TN-AFL-032;S2TN-AFL-032;AVO;S2TN-ZON-035;Secc.03-11-11;40+96;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4660
138;12;S2TN-AFL-033;S2TN-AFL-033;S2TN-AFL-033;AVO;S2TN-ZON-035;Secc.03-11-11;40+96;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;4660
139;12;S2TN-AFL-027;S2TN-AFL-027;S2TN-AFL-027;AVO;IPRO-ZON-001;Secc.03-11-11;41+34;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
140;12;S2TN-AFL-028;S2TN-AFL-028;S2TN-AFL-028;AVO;S2TN-ZON-033;Secc.03-11-11;41+34;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
141;12;S2TN-AFL-029;S2TN-AFL-029;S2TN-AFL-029;AVO;S2TN-ZON-033;Secc.03-11-11;41+34;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
142;12;S2TN-AFL-030;S2TN-AFL-030;S2TN-AFL-030;AVO;S2TN-ZON-033;Secc.03-11-11;41+34;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
144;12;S2TS-AFL-015;S2TS-AFL-015;S2TS-AFL-015;AVO;S2TS-ZON-018;Secc.02-10-04;41+34;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
145;12;S2TS-AFL-016;S2TS-AFL-016;S2TS-AFL-016;AVO;S2TS-ZON-018;Secc.02-10-04;41+34;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
146;12;S2TS-AFL-017;S2TS-AFL-017;S2TS-AFL-017;AVO;S2TS-ZON-018;Secc.02-10-04;41+34;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5040
147;12;ICCO-AFL-001;ICCO-AFL-001;ICCO-AFL-001;AVO;ICCO-ZON-001;Secc.03-258-09;5+14;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5140
148;12;S2TS-AFL-019;S2TS-AFL-019;S2TS-AFL-019;AVO;SMPN-ZON-001;Secc.02-10-05;41+79;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5490
149;12;S2TS-AFL-020;S2TS-AFL-020;S2TS-AFL-020;AVO;S2TS-ZON-022;Secc.02-10-05;41+79;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5490
150;12;S2TS-AFL-021;S2TS-AFL-021;S2TS-AFL-021;AVO;S2TS-ZON-022;Secc.02-10-05;41+79;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5490
151;12;S2TS-AFL-022;S2TS-AFL-022;S2TS-AFL-022;AVO;S2TS-ZON-022;Secc.02-10-05;41+79;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5490
152;12;S2TS-AFL-023;S2TS-AFL-023;S2TS-AFL-023;AVO;S2TS-ZON-022;Secc.02-10-05;41+79;4;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5490
153;12;S2TN-AFL-024;S2TN-AFL-024;S2TN-AFL-024;AVO;S2TN-ZON-028;Secc.03-11-11;41+805;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;5505
