device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_state_cmd(i);offset_state(i)
EST-CONT-A8-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8412;6352
EST-CONT-A7-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8413;6353
STM2-CONT-A9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8414;6354
STM2-CONT-A11-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8415;6355
STM2-CONT-A10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8416;6356
STM2-CONT-A12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8417;6357
STM2-CONT-A4-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8418;6358
STM2-CONT-A6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8419;6359
STM2-CONT-A3-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8420;6360
STM2-CONT-A5-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8421;6361
STM2-CONT-AA7-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8422;6362
