id;x;y;name;description;label;icon;base_layer
133;1;1;metro;metro;LBL_METRO;NULL;Ausol_Metro.svg
134;1;1;ng_comm_users;ng_comm_users;LBL_NG_COMM_USERS;NULL;Ausol_NG_Comm_Users.svg
135;1;1;stmii_uf_csg;stmii_uf_csg;LBL_STMII_UF_CSG;NULL;Ausol_STMII_UF_CSG.svg
136;1;1;ng_illumination;ng_illumination;LBL_NG_ILLUMINATION;NULL;Ausol_NG_Ilumination.svg
137;1;1;est_pci;est_pci;LBL_EST_PCI;NULL;Ausol_EST_PCI.svg
138;1;1;stmii_pci;stmii_pci;LBL_STMII_PCI;NULL;Ausol_STMII_PCI.svg
139;1;1;ng_vent;ng_vent;LBL_NG_VENT;NULL;Ausol_NG_Ventilacion.svg
140;1;1;lq_pci;lq_pci;LBL_LQ_PCI;NULL;Ausol_LQ_PCI.svg
141;1;1;ng_pci;ng_pci;LBL_NG_PCI;NULL;Ausol_NG_PCI.svg
142;1;1;cor_pci;cor_pci;LBL_COR_PCI;NULL;Ausol_COR_PCI.svg
143;1;1;stm2_uf_csb_its_1;stm2_uf_csb_its_1;LBL_STM2_UF_CSB_ITS_1;NULL;Ausol_STM2_UF_CSB_ITS_1.svg
144;1;1;stm2_uf_csb_its_2;stm2_uf_csb_its_2;LBL_STM2_UF_CSB_ITS_2;NULL;Ausol_STM2_UF_CSB_ITS_2.svg
