item;alias;description;sessionuid;road;stretchs;pk;sentido
39;CAS-VM-1CA;CAS-VM-1CA;CAS-VM-1CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
40;CAS-VM-2CA;CAS-VM-2CA;CAS-VM-2CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
41;CAS-VM-3CA;CAS-VM-3CA;CAS-VM-3CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
42;CAS-VM-4CA;CAS-VM-4CA;CAS-VM-4CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
43;CAS-VM-5CA;CAS-VM-5CA;CAS-VM-5CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
44;CAS-VM-6CA;CAS-VM-6CA;CAS-VM-6CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
45;CAS-VC-2CA;CAS-VC-2CA;CAS-VC-2CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
46;CAS-VC-1MA;CAS-VC-1MA;CAS-VC-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
47;CAS-VM-1MA;CAS-VM-1MA;CAS-VM-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
48;CAS-VM-2MA;CAS-VM-2MA;CAS-VM-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
49;CAS-VM-3MA;CAS-VM-3MA;CAS-VM-3MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
50;CAS-VM-4MA;CAS-VM-4MA;CAS-VM-4MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
51;CAS-VM-5MA;CAS-VM-5MA;CAS-VM-5MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
52;CAS-VM-6MA;CAS-VM-6MA;CAS-VM-6MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
