device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
CAS-PLCG2-MA;CAS-PLCG2-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.184'
CAS-PLCSI-1MA;CAS-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.202'
CAS-PLCSI-2MA;CAS-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.207'
CAS-PLCSI-3MA;CAS-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.213'
CAS-PLCSI-4MA;CAS-PLCSI-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.217'
CAS-PLCSI-5MA;CAS-PLCSI-5MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.223'
STM2-PLCL-BC;STM2-PLCL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.10'
STM2-PLC-CGBT-BC;STM2-PLC-CGBT-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.11'
STM2-PLCSI-1CA;STM2-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.32'
STM2-PLCSI-2CA;STM2-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.37'
STM2-PLCSI-3CA;STM2-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.42'
STM2-PLCG-CA;STM2-PLCG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.44'
STM2-PLCL-BM;STM2-PLCL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.46'
STM2-PLCSI-1MA;STM2-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.57'
STM2-PLCSI-2MA;STM2-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.62'
STM2-PLCSI-3MA;STM2-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.10.67'
EST-PLCL-1;EST-PLCL-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.16.10'
EST-PLC-CGBT;EST-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.16.11'
EST-PLCSI-1CA;EST-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.16.37'
EST-PLCE-BC;EST-PLCE-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.16.30'
EST-PLCSI-1MA;EST-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.16.28'
NG-PLCL-BC;NG-PLCL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.10'
NG-PLCSI-1CA;NG-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.23'
NG-PLCSI-2CA;NG-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.26'
NG-PLCSI-3CA;NG-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.29'
NG-PLCSI-4CA;NG-PLCSI-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.32'
NG-PLCSI-5CA;NG-PLCSI-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.35'
NG-PLCSI-6CA;NG-PLCSI-6CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.38'
NG-PLCSI-7CA;NG-PLCSI-7CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.41'
NG-PLCSI-8CA;NG-PLCSI-8CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.44'
NG-PLCG-CA;NG-PLCG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.46'
NG-PLCL-BM;NG-PLCL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.48'
NG-PLC-CGBT;NG-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.49'
NG-PLCSI-1MA;NG-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.64'
NG-PLCSI-2MA;NG-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.67'
NG-PLCSI-3MA;NG-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.70'
NG-PLCSI-4MA;NG-PLCSI-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.73'
NG-PLCSI-5MA;NG-PLCSI-5MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.76'
NG-PLCSI-6MA;NG-PLCSI-6MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.79'
NG-PLCSI-7MA;NG-PLCSI-7MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.82'
NG-PLCSI-8MA;NG-PLCSI-8MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.17.85'
