device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command;receiver_name;ip_whitelist
CH-TV-1CA;CH-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.58';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-2CA;CH-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.59';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-3CA;CH-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.60';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-4CA;CH-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.61';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-5CA;CH-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.62';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-6CA;CH-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.63';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-7CA;CH-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.64';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-8CA;CH-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.65';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-1MA;CH-TV-1MA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.47';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-2MA;CH-TV-2MA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.48';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-3MA;CH-TV-3MA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.49';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-4MA;CH-TV-4MA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.50';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-5MA;CH-TV-5MA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.51';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-6MA;CH-TV-6MA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.52';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-7MA;CH-TV-7MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.53';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CH-TV-8MA;CH-TV-8MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.54';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.9.18\/api\/v1\/incidents\/incidentscada\/';CH-DAI;192.168.9.18
CAS-TV-1CA;CAS-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.91';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-2CA;CAS-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.92';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-3CA;CAS-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.93';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-4CA;CAS-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.94';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-5CA;CAS-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.95';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-6CA;CAS-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.96';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-7CA;CAS-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.97';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-8CA;CAS-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.98';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-9CA;CAS-TV-9CA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.99';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-10CA;CAS-TV-10CA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.100';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-11CA;CAS-TV-11CA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.101';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-12CA;CAS-TV-12CA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.102';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-13CA;CAS-TV-13CA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.103';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-14CA;CAS-TV-14CA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.104';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-1MA;CAS-TV-1MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.110';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-2MA;CAS-TV-2MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.111';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-3MA;CAS-TV-3MA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.112';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-4MA;CAS-TV-4MA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.113';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-5MA;CAS-TV-5MA;18;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.114';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-6MA;CAS-TV-6MA;19;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.115';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-7MA;CAS-TV-7MA;20;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.116';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-8MA;CAS-TV-8MA;21;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.117';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-9MA;CAS-TV-9MA;22;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.118';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-10MA;CAS-TV-10MA;23;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.119';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-11MA;CAS-TV-11MA;24;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.120';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-12MA;CAS-TV-12MA;25;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.121';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-13MA;CAS-TV-13MA;26;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.122';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
CAS-TV-14MA;CAS-TV-14MA;27;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.123';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.16.18\/api\/v1\/incidents\/incidentscada\/';CAS-DAI;192.168.5.147
COR-TV-1MA;COR-TV-1MA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.144';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-2MA;COR-TV-2MA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.145';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-3MA;COR-TV-3MA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.146';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-4MA;COR-TV-4MA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.147';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-5MA;COR-TV-5MA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.148';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-6MA;COR-TV-6MA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.149';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-7MA;COR-TV-7MA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.150';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
COR-TV-8MA;COR-TV-8MA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.151';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.15.18\/api\/v1\/incidents\/incidentscada\/';COR-DAI;192.168.15.20
