id;alias;type
2169;CH00CC;2
2170;CH00CD;2
2171;CH00CE;2
2172;CH00CF;2
2173;CH00D0;2
2174;CH00D1;2
2175;CH00D2;2
2176;CH00D3;2
2177;CH00D4;2
2178;CH00D5;2
2179;CH00D6;2
2180;CH00D7;2
2181;CH00D8;2
2182;CH00D9;2
2183;CH00DA;2
2184;CH00DB;2
2185;CH00DC;2
2186;CH00DD;2
2187;CH00DE;2
2188;CH00DF;2
2189;CH00E0;2
2190;CH00E1;2
2191;CH00E2;2
2192;CH00E3;2
2193;CH00E4;2
2194;CH00E5;2
2195;CH00E6;2
2196;CH00E7;2
2197;CH00E8;2
2198;CH00E9;2
2199;CH00EA;2
2200;CH00EB;2
2201;CH00EC;2
2202;CH00ED;2
2203;CH00EE;2
2204;CH00EF;2
2205;CH00F0;2
2206;CH00F1;2
2207;CH00F2;2
2208;CH00F3;2
2209;CH00F4;2
2210;CH00F5;2
2211;CH00F6;2
2212;CH00F7;2
2213;CH00F8;2
2214;CH00F9;2
2215;CH00FA;2
2216;CH00FB;2
2217;CH00FC;2
2218;CH00FD;2
2219;CH00FE;2
2220;CH00FF;2
2221;CH0102;2
2222;CH0103;2
2223;CH0104;2
2224;CH0105;2
2225;CH0106;2
2226;CH0107;2
2227;CH010C;2
2228;CH010D;2
2229;CH010E;2
2230;CH010F;2
2231;CH0110;2
2232;CH0111;2
2233;CH0118;2
2234;CH0119;2
2235;CH011A;2
2236;CH011B;2
2237;CH0139;2
2238;CH013A;2
2239;CH013D;2
2240;CH013E;2
2241;CH0141;2
2242;CH0142;2
2243;CH0143;2
2244;CH0147;2
2245;CH0148;2
2246;CH0150;2
2247;CH0151;2
2248;CH0154;2
2249;CH0155;2
2250;CH0158;2
2251;CH0159;2
2252;CH015A;2
2253;CH015B;2
2254;CH015E;2
2255;CH015F;2
2256;CH0160;2
2257;CH0161;2
2258;CH0162;2
2259;CH0163;2
2260;CH0164;2
2261;CH0165;2
2262;CH016E;2
2263;CH016F;2
2264;CH0170;2
2265;CH0171;2
2266;CH0179;2
2267;CH017A;2
2268;CH017B;2
2269;CH017C;2
2270;CH017D;2
2271;CH017E;2
2272;CH02C7;2
2273;CH02D8;2
2274;CH02D9;2
2275;CH02DB;2
2276;CH02DC;2
2277;CH02DD;2
3000;BRE1;1
