"id";"value";"type";"param";"param_type";"protocol_type";"protocol_param_id"
2107;"CH0089";2;1002;2;2;2
2108;"CH008A";2;1002;2;2;2
2109;"CH008B";2;1002;2;2;2
2110;"CH008C";2;1002;2;2;2
2111;"CH008E";2;1002;2;2;2
2112;"CH0091";2;1002;2;2;2
2113;"CH0092";2;1002;2;2;2
2114;"CH0093";2;1002;2;2;2
2115;"CH0094";2;1002;2;2;2
2116;"CH0095";2;1002;2;2;2
2117;"CH0096";2;1002;2;2;2
2118;"CH0097";2;1002;2;2;2
2119;"CH0098";2;1002;2;2;2
2120;"CH0099";2;1002;2;2;2
2121;"CH009A";2;1002;2;2;2
2122;"CH009B";2;1002;2;2;2
2123;"CH009C";2;1002;2;2;2
2124;"CH009E";2;1002;2;2;2
2125;"CH009F";2;1002;2;2;2
2126;"CH00A1";2;1002;2;2;2
2127;"CH00A2";2;1002;2;2;2
2128;"CH00A3";2;1002;2;2;2
2129;"CH00A4";2;1002;2;2;2
2130;"CH00A5";2;1002;2;2;2
2131;"CH00A6";2;1002;2;2;2
2132;"CH00A7";2;1002;2;2;2
2133;"CH00A8";2;1002;2;2;2
2134;"CH00A9";2;1002;2;2;2
2135;"CH00AA";2;1002;2;2;2
2136;"CH00AB";2;1002;2;2;2
2137;"CH00AC";2;1002;2;2;2
2138;"CH00AD";2;1002;2;2;2
2139;"CH00AE";2;1002;2;2;2
2140;"CH00AF";2;1002;2;2;2
2141;"CH00B0";2;1002;2;2;2
2142;"CH00B1";2;1002;2;2;2
2143;"CH00B2";2;1002;2;2;2
2144;"CH00B3";2;1002;2;2;2
2145;"CH00B4";2;1002;2;2;2
2146;"CH00B5";2;1002;2;2;2
2147;"CH00B6";2;1002;2;2;2
2148;"CH00B7";2;1002;2;2;2
2149;"CH00B8";2;1002;2;2;2
2150;"CH00B9";2;1002;2;2;2
2151;"CH00BA";2;1002;2;2;2
2152;"CH00BB";2;1002;2;2;2
2153;"CH00BC";2;1002;2;2;2
2154;"CH00BD";2;1002;2;2;2
2155;"CH00BE";2;1002;2;2;2
2156;"CH00BF";2;1002;2;2;2
2157;"CH00C0";2;1002;2;2;2
2158;"CH00C1";2;1002;2;2;2
2159;"CH00C2";2;1002;2;2;2
2160;"CH00C3";2;1002;2;2;2
2161;"CH00C4";2;1002;2;2;2
2162;"CH00C5";2;1002;2;2;2
2163;"CH00C6";2;1002;2;2;2
2164;"CH00C7";2;1002;2;2;2
2165;"CH00C8";2;1002;2;2;2
2166;"CH00C9";2;1002;2;2;2
2167;"CH00CA";2;1002;2;2;2
2168;"CH00CB";2;1002;2;2;2
2169;"CH00CC";2;1002;2;2;2
2170;"CH00CD";2;1002;2;2;2
2171;"CH00CE";2;1002;2;2;2
2172;"CH00CF";2;1002;2;2;2
2173;"CH00D0";2;1002;2;2;2
2174;"CH00D1";2;1002;2;2;2
2175;"CH00D2";2;1002;2;2;2
2176;"CH00D3";2;1002;2;2;2
2177;"CH00D4";2;1002;2;2;2
2178;"CH00D5";2;1002;2;2;2
2179;"CH00D6";2;1002;2;2;2
2180;"CH00D7";2;1002;2;2;2
2181;"CH00D8";2;1002;2;2;2
2182;"CH00D9";2;1002;2;2;2
2183;"CH00DA";2;1002;2;2;2
2184;"CH00DB";2;1002;2;2;2
2185;"CH00DC";2;1002;2;2;2
2186;"CH00DD";2;1002;2;2;2
2187;"CH00DE";2;1002;2;2;2
2188;"CH00DF";2;1002;2;2;2
2189;"CH00E0";2;1002;2;2;2
2190;"CH00E1";2;1002;2;2;2
2191;"CH00E2";2;1002;2;2;2
2192;"CH00E3";2;1002;2;2;2
2193;"CH00E4";2;1002;2;2;2
2194;"CH00E5";2;1002;2;2;2
2195;"CH00E6";2;1002;2;2;2
2196;"CH00E7";2;1002;2;2;2
2197;"CH00E8";2;1002;2;2;2
2198;"CH00E9";2;1002;2;2;2
2199;"CH00EA";2;1002;2;2;2
2200;"CH00EB";2;1002;2;2;2
2201;"CH00EC";2;1002;2;2;2
2202;"CH00ED";2;1002;2;2;2
2203;"CH00EE";2;1002;2;2;2
2204;"CH00EF";2;1002;2;2;2
2205;"CH00F0";2;1002;2;2;2
