item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
37;2;S1TS-BIE-016;S1TS-BIE-016;S1TS-BIE-016;AVO;S1TS-ZON-008;Secc.01-10-01;37+700;1400;
38;1;S1TS-BIE-017;S1TS-BIE-017;S1TS-BIE-017;AVO;S1TS-ZON-009;Secc.01-10-01;37+750;1450;
39;2;S1TS-BIE-018;S1TS-BIE-018;S1TS-BIE-018;AVO;S1TS-ZON-009;Secc.01-10-01;37+800;1500;
40;1;S1TS-BIE-019;S1TS-BIE-019;S1TS-BIE-019;AVO;S1TS-ZON-010;Secc.01-10-01;37+850;1550;
41;2;S1TS-BIE-020;S1TS-BIE-020;S1TS-BIE-020;AVO;;Secc.01-10-01;37+900;1600;
42;1;S1TS-BIE-021;S1TS-BIE-021;S1TS-BIE-021;AVO;S1TS-ZON-010;Secc.01-10-01;37+950;1650;
43;2;S1TS-BIE-022;S1TS-BIE-022;S1TS-BIE-022;AVO;S1TS-ZON-011;Secc.01-10-01;38+000;1700;
44;1;S1TS-BIE-023;S1TS-BIE-023;S1TS-BIE-023;AVO;S1TS-ZON-012;Secc.01-10-02;38+050;1750;
45;2;S1TS-BIE-024;S1TS-BIE-024;S1TS-BIE-024;AVO;S1TS-ZON-012;Secc.01-10-02;38+100;1800;
46;1;S1TS-BIE-025;S1TS-BIE-025;S1TS-BIE-025;AVO;S1TS-ZON-013;Secc.01-10-02;38+150;1850;
47;2;S1TS-BIE-026;S1TS-BIE-026;S1TS-BIE-026;AVO;S1TS-ZON-013;Secc.01-10-02;38+200;1900;
48;1;S1TS-BIE-027;S1TS-BIE-027;S1TS-BIE-027;AVO;S1TS-ZON-013;Secc.01-10-02;38+250;1950;
49;2;S1TS-BIE-028;S1TS-BIE-028;S1TS-BIE-028;AVO;S1TS-ZON-014;Secc.01-10-02;38+300;2000;
50;1;S1TS-BIE-029;S1TS-BIE-029;S1TS-BIE-029;AVO;S1TS-ZON-014;Secc.01-10-02;38+330;2030;
51;2;S1TS-BIE-030;S1TS-BIE-030;S1TS-BIE-030;AVO;S1TS-ZON-015;Secc.01-10-02;38+400;2100;
52;1;S1TS-BIE-031;S1TS-BIE-031;S1TS-BIE-031;AVO;S1TS-ZON-015;Secc.01-10-02;38+450;2150;
53;2;S1TS-BIE-032;S1TS-BIE-032;S1TS-BIE-032;AVO;S1TS-ZON-016;Secc.01-10-02;38+500;2200;
54;1;S1TS-BIE-033;S1TS-BIE-033;S1TS-BIE-033;AVO;S1TS-ZON-016;Secc.01-10-02;38+550;2250;
55;2;S1TS-BIE-034;S1TS-BIE-034;S1TS-BIE-034;AVO;S1TS-ZON-017;Secc.01-10-02;38+600;2300;
56;1;S1TS-BIE-035;S1TS-BIE-035;S1TS-BIE-035;AVO;S1TS-ZON-017;Secc.01-10-02;38+650;2350;
57;2;S1TS-BIE-036;S1TS-BIE-036;S1TS-BIE-036;AVO;S1TS-ZON-018;Secc.01-10-02;38+700;2400;
58;1;S1TS-BIE-037;S1TS-BIE-037;S1TS-BIE-037;AVO;S1TS-ZON-018;Secc.01-10-02;38+750;2450;
59;2;S1TS-BIE-038;S1TS-BIE-038;S1TS-BIE-038;AVO;S1TS-ZON-019;Secc.01-10-02;38+800;2500;
60;1;S1TS-BIE-039;S1TS-BIE-039;S1TS-BIE-039;AVO;S1TS-ZON-019;Secc.01-10-02;38+850;2550;
61;2;S1TS-BIE-040;S1TS-BIE-040;S1TS-BIE-040;AVO;S1TS-ZON-020;Secc.01-10-02;38+900;2600;
62;1;S1TS-BIE-041;S1TS-BIE-041;S1TS-BIE-041;AVO;S1TS-ZON-020;Secc.01-10-02;38+950;2650;
63;2;S1TS-BIE-042;S1TS-BIE-042;S1TS-BIE-042;AVO;SAEB-ZON-001;Secc.01-10-03;39+000;2700;
64;1;S1TS-BIE-043;S1TS-BIE-043;S1TS-BIE-043;AVO;S1TS-ZON-021;Secc.01-10-03;39+050;2750;
65;2;S1TS-BIE-044;S1TS-BIE-044;S1TS-BIE-044;AVO;S1TS-ZON-022;Secc.01-10-03;39+100;2800;
66;1;S1TS-BIE-045;S1TS-BIE-045;S1TS-BIE-045;AVO;S1TS-ZON-023;Secc.01-10-03;39+150;2850;
67;2;S1TS-BIE-046;S1TS-BIE-046;S1TS-BIE-046;AVO;S1TS-ZON-023;Secc.01-10-03;39+200;2900;
68;1;S1TS-BIE-047;S1TS-BIE-047;S1TS-BIE-047;AVO;S1TS-ZON-023;Secc.01-10-03;39+250;2950;
69;2;S1TN-BIE-001;S1TN-BIE-001;S1TN-BIE-001;AVO;S1TN-ZON-005;Secc.01-11-12;39+250;2950;
