item;alias;description;sessionuid;road;stretchs;secc;pk;dm
279;UF-2E06-CAB-001;UF-2E06-CAB-001;UF-2E06-CAB-001;AVO;;Secc.02-10-05;42+58;6280
280;UF-2E06-CAB-002;UF-2E06-CAB-002;UF-2E06-CAB-002;AVO;;Secc.02-10-05;42+58;6280
281;UF-S2TN-CAB-041;UF-S2TN-CAB-041;UF-S2TN-CAB-041;AVO;;Secc.02-10-05;42+58;6280
282;UF-S2TN-CAB-042;UF-S2TN-CAB-042;UF-S2TN-CAB-042;AVO;;Secc.02-10-05;42+58;6280
283;CC.27;CC.27;CC.27;AVO;;Secc.02-10-04;40+37;4070
284;UF-S2TN-CAB-043;UF-S2TN-CAB-043;UF-S2TN-CAB-043;AVO;;Secc.02-10-05;42+58;6280
285;UF-S2TS-CAB-007;UF-S2TS-CAB-007;UF-S2TS-CAB-007;AVO;;Secc.02-10-05;42+58;6280
286;UF-S2TS-CAB-008;UF-S2TS-CAB-008;UF-S2TS-CAB-008;AVO;;Secc.02-10-05;42+58;6280
287;2E07-ELE-002.PEVPres;2E07-ELE-002.PEVPres;2E07-ELE-002.PEVPres;AVO;;Secc.02-10-04;40+37;4070
288;UF-2E07-CAB-001;UF-2E07-CAB-001;UF-2E07-CAB-001;AVO;;Secc.02-10-04;40+37;4070
289;UF-2E07-CAB-002;UF-2E07-CAB-002;UF-2E07-CAB-002;AVO;;Secc.02-10-04;40+37;4070
290;UF-INKO-CAB-001;UF-INKO-CAB-001;UF-INKO-CAB-001;AVO;;Secc.02-10-04;40+37;4070
291;UF-INKO-CAB-002;UF-INKO-CAB-002;UF-INKO-CAB-002;AVO;;Secc.02-10-04;40+37;4070
292;UF-IVIP-AIM-001;UF-IVIP-AIM-001;UF-IVIP-AIM-001;AVO;;Secc.02-10-04;40+37;4070
293;CC.11;CC.11;CC.11;AVO;;Secc.02-10-04;40+37;4070
294;CC.26;CC.26;CC.26;AVO;;Secc.02-10-04;40+37;4070
295;UF-IVIP-CAB-001;UF-IVIP-CAB-001;UF-IVIP-CAB-001;AVO;;Secc.02-10-05;42+58;6280
296;UF-IVIP-CAB-002;UF-IVIP-CAB-002;UF-IVIP-CAB-002;AVO;;Secc.02-10-05;42+58;6280
297;UF-S2TN-CAB-039;UF-S2TN-CAB-039;UF-S2TN-CAB-039;AVO;;Secc.02-10-05;42+58;6280
298;UF-S2TN-CAB-040;UF-S2TN-CAB-040;UF-S2TN-CAB-040;AVO;;Secc.02-10-05;42+58;6280
299;UF-S2TS-CAB-009;UF-S2TS-CAB-009;UF-S2TS-CAB-009;AVO;;Secc.02-10-05;42+58;6280
300;UF-S2TS-CAB-010;UF-S2TS-CAB-010;UF-S2TS-CAB-010;AVO;;Secc.02-10-05;42+58;6280
301;UF-S2TS-CAB-011;UF-S2TS-CAB-011;UF-S2TS-CAB-011;AVO;;Secc.02-10-05;42+58;6280
302;UF-S2TS-CAB-012;UF-S2TS-CAB-012;UF-S2TS-CAB-012;AVO;;Secc.02-10-05;42+58;6280
320;2E08-ELE-002.PEVPres;2E08-ELE-002.PEVPres;2E08-ELE-002.PEVPres;AVO;;Secc.03-11-11;41+415;5115
321;UF-2E08-CAB-001;UF-2E08-CAB-001;UF-2E08-CAB-001;AVO;;Secc.03-11-11;41+415;5115
322;UF-2E08-CAB-002;UF-2E08-CAB-002;UF-2E08-CAB-002;AVO;;Secc.03-11-11;41+415;5115
323;UF-S2TN-CAB-037;UF-S2TN-CAB-037;UF-S2TN-CAB-037;AVO;;Secc.03-11-11;41+415;5115
324;UF-S2TN-CAB-038;UF-S2TN-CAB-038;UF-S2TN-CAB-038;AVO;;Secc.03-11-11;41+415;5115
325;UF-S2TS-CAB-013;UF-S2TS-CAB-013;UF-S2TS-CAB-013;AVO;;Secc.03-11-11;41+415;5115
326;2E09-ELE-002.PEVPres;2E09-ELE-002.PEVPres;2E09-ELE-002.PEVPres;AVO;;Secc.03-11-11;41+415;5115
327;UF-2E09-CAB-001;UF-2E09-CAB-001;UF-2E09-CAB-001;AVO;;Secc.03-11-11;41+415;5115
328;UF-2E09-CAB-002;UF-2E09-CAB-002;UF-2E09-CAB-002;AVO;;Secc.03-11-11;41+415;5115
329;UF-INKP-AIM-001;UF-INKP-AIM-001;UF-INKP-AIM-001;AVO;;Secc.03-11-11;41+415;5115
330;UF-INKP-CAB-001;UF-INKP-CAB-001;UF-INKP-CAB-001;AVO;;Secc.03-11-11;41+415;5115
331;UF-INKP-CAB-002;UF-INKP-CAB-002;UF-INKP-CAB-002;AVO;;Secc.03-11-11;41+415;5115
332;UF-INKP-CAB-003;UF-INKP-CAB-003;UF-INKP-CAB-003;AVO;;Secc.03-11-11;41+415;5115
333;UF-INKP-CAB-004;UF-INKP-CAB-004;UF-INKP-CAB-004;AVO;;Secc.03-11-11;41+415;5115
334;UF-INKP-CAB-005;UF-INKP-CAB-005;UF-INKP-CAB-005;AVO;;Secc.03-11-11;41+415;5115
335;UF-INKP-CAB-006;UF-INKP-CAB-006;UF-INKP-CAB-006;AVO;;Secc.03-11-11;41+415;5115
336;UF-INKP-CAB-007;UF-INKP-CAB-007;UF-INKP-CAB-007;AVO;;Secc.03-11-11;41+415;5115
337;UF-S2TN-CAB-036;UF-S2TN-CAB-036;UF-S2TN-CAB-036;AVO;;Secc.03-11-11;41+415;5115
338;UF-S2TS-CAB-014;UF-S2TS-CAB-014;UF-S2TS-CAB-014;AVO;;Secc.03-11-11;41+415;5115
339;UF-SNKO-CAB-001;UF-SNKO-CAB-001;UF-SNKO-CAB-001;AVO;;Secc.03-11-11;41+415;5115
340;UF-SNKO-CAB-002;UF-SNKO-CAB-002;UF-SNKO-CAB-002;AVO;;Secc.03-11-11;41+415;5115
341;UF-SNKO-CAB-003;UF-SNKO-CAB-003;UF-SNKO-CAB-003;AVO;;Secc.03-11-11;41+415;5115
342;UF-SNKO-CAB-004;UF-SNKO-CAB-004;UF-SNKO-CAB-004;AVO;;Secc.03-11-11;41+415;5115
343;UF-SNKP-CAB-001;UF-SNKP-CAB-001;UF-SNKP-CAB-001;AVO;;Secc.03-11-11;41+415;5115
344;UF-SNKP-CAB-002;UF-SNKP-CAB-002;UF-SNKP-CAB-002;AVO;;Secc.03-11-11;41+415;5115
345;CC.12;CC.12;CC.12;AVO;;Secc.03-11-11;41+415;5115
346;2E10-ELE-002.PEVPres;2E10-ELE-002.PEVPres;2E10-ELE-002.PEVPres;AVO;;Secc.03-11-11;41+415;5115
347;UF-2E10-CAB-001;UF-2E10-CAB-001;UF-2E10-CAB-001;AVO;;Secc.03-11-11;41+415;5115
348;UF-2E10-CAB-002;UF-2E10-CAB-002;UF-2E10-CAB-002;AVO;;Secc.03-11-11;41+415;5115
