device_name;PLC_name;PLC_host;PLC_port(i);CT_index;offset_alarmDAI(i);bit_alarmDAI(i)
S2TN-CAM-048;CT02_PLC_B;10.133.50.37;28009;CT02;5356;1
S2TS-CAM-001;CT02_PLC_B;10.133.50.37;28009;CT02;5356;2
S2TN-CAM-047;CT02_PLC_B;10.133.50.37;28009;CT02;5356;3
S2TS-CAM-002;CT02_PLC_B;10.133.50.37;28009;CT02;5356;4
S2TN-CAM-046;CT02_PLC_B;10.133.50.37;28009;CT02;5356;5
S2TS-CAM-003;CT02_PLC_B;10.133.50.37;28009;CT02;5356;6
S2TN-CAM-045;CT02_PLC_B;10.133.50.37;28009;CT02;5356;7
S2TS-CAM-004;CT02_PLC_B;10.133.50.37;28009;CT02;5356;8
S2TN-CAM-044;CT02_PLC_B;10.133.50.37;28009;CT02;5356;9
S2TS-CAM-005;CT02_PLC_B;10.133.50.37;28009;CT02;5356;10
S2TN-CAM-043;CT02_PLC_B;10.133.50.37;28009;CT02;5356;11
S2TS-CAM-006;CT02_PLC_B;10.133.50.37;28009;CT02;5356;12
S2TN-CAM-042;CT02_PLC_B;10.133.50.37;28009;CT02;5356;13
S2TS-CAM-007;CT02_PLC_B;10.133.50.37;28009;CT02;5356;14
IPRO-CAM-001;CT02_PLC_B;10.133.50.37;28009;CT02;5356;15
S2TN-CAM-041;CT02_PLC_B;10.133.50.37;28009;CT02;5357;0
S2TS-CAM-008;CT02_PLC_B;10.133.50.37;28009;CT02;5357;1
IPRO-CAM-002;CT02_PLC_B;10.133.50.37;28009;CT02;5357;2
S2TN-CAM-040;CT02_PLC_B;10.133.50.37;28009;CT02;5357;3
S2TS-CAM-009;CT02_PLC_B;10.133.50.37;28009;CT02;5357;4
S2TN-CAM-039;CT02_PLC_B;10.133.50.37;28009;CT02;5357;5
S2TS-CAM-010;CT02_PLC_B;10.133.50.37;28009;CT02;5357;6
S2TN-CAM-038;CT02_PLC_B;10.133.50.37;28009;CT02;5357;7
S2TS-CAM-011;CT02_PLC_B;10.133.50.37;28009;CT02;5357;8
S2TN-CAM-037;CT02_PLC_B;10.133.50.37;28009;CT02;5357;9
S2TN-CAM-036;CT02_PLC_B;10.133.50.37;28009;CT02;5357;10
S2TS-CAM-012;CT02_PLC_B;10.133.50.37;28009;CT02;5357;11
S2TN-CAM-035;CT02_PLC_B;10.133.50.37;28009;CT02;5357;12
S2TS-CAM-013;CT02_PLC_B;10.133.50.37;28009;CT02;5357;13
S2TN-CAM-034;CT02_PLC_B;10.133.50.37;28009;CT02;5357;14
S2TN-CAM-033;CT02_PLC_B;10.133.50.37;28009;CT02;5357;15
S2TS-CAM-014;CT02_PLC_B;10.133.50.37;28009;CT02;5358;0
S2TN-CAM-032;CT02_PLC_B;10.133.50.37;28009;CT02;5358;1
S2TS-CAM-016;CT02_PLC_B;10.133.50.37;28009;CT02;5358;2
S2TN-CAM-031;CT02_PLC_B;10.133.50.37;28009;CT02;5358;3
