PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i)
IDNG-MG-DP;LUMI-EMER-E1-16-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12644;12645;12645;12645;12645;12645;12645;12646;12647;12648;12648;12648;12648;12648;12649
IDNG-MG-DP;LUMI-EMER-E2-76-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12676;12677;12677;12677;12677;12677;12677;12678;12679;12680;12680;12680;12680;12680;12681
IDNG-MG-DP;LUMI-EMER-E2-60-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12708;12709;12709;12709;12709;12709;12709;12710;12711;12712;12712;12712;12712;12712;12713
IDNG-MG-DP;LUMI-EMER-E1-08-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12740;12741;12741;12741;12741;12741;12741;12742;12743;12744;12744;12744;12744;12744;12745
IDNG-MG-DP;LUMI-EMER-E1-15-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12772;12773;12773;12773;12773;12773;12773;12774;12775;12776;12776;12776;12776;12776;12777
IDNG-MG-DP;LUMI-EMER-E1-07-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12804;12805;12805;12805;12805;12805;12805;12806;12807;12808;12808;12808;12808;12808;12809
IDNG-MG-DP;LUMI-EMER-E1-46-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12836;12837;12837;12837;12837;12837;12837;12838;12839;12840;12840;12840;12840;12840;12841
IDNG-MG-DP;LUMI-EMER-E1-1D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12868;12869;12869;12869;12869;12869;12869;12870;12871;12872;12872;12872;12872;12872;12873
IDNG-MG-DP;LUMI-EMER-E0-B0-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12900;12901;12901;12901;12901;12901;12901;12902;12903;12904;12904;12904;12904;12904;12905
IDNG-MG-DP;LUMI-EMER-E0-B2-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12932;12933;12933;12933;12933;12933;12933;12934;12935;12936;12936;12936;12936;12936;12937
IDNG-MG-DP;LUMI-EMER-DC-3C-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;4;5;5;5;5;5;5;6;7;8;8;8;8;8;9
IDNG-MG-DP;LUMI-EMER-DC-3D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;36;37;37;37;37;37;37;38;39;40;40;40;40;40;41
IDNG-MG-DP;LUMI-EMER-DC-3B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;68;69;69;69;69;69;69;70;71;72;72;72;72;72;73
IDNG-MG-DP;LUMI-EMER-DC-37-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;100;101;101;101;101;101;101;102;103;104;104;104;104;104;105
IDNG-MG-DP;LUMI-EMER-DC-3A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;132;133;133;133;133;133;133;134;135;136;136;136;136;136;137
IDNG-MG-DP;LUMI-EMER-04-F3-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;164;165;165;165;165;165;165;166;167;168;168;168;168;168;169
IDNG-MG-DP;LUMI-EMER-DC-39-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;196;197;197;197;197;197;197;198;199;200;200;200;200;200;201
IDNG-MG-DP;LUMI-EMER-DC-38-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;228;229;229;229;229;229;229;230;231;232;232;232;232;232;233
IDNG-MG-DP;LUMI-EMER-DC-35-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;260;261;261;261;261;261;261;262;263;264;264;264;264;264;265
IDNG-MG-DP;LUMI-EMER-DC-36-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;292;293;293;293;293;293;293;294;295;296;296;296;296;296;297
