device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
TUN-MAGDIF-BF14-3;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4071
TUN-MAGDIF-BF14-4;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4072
TUN-MAGDIF-BF14-5;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4073
TUN-MAGDIF-BF15;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4074
TUN-MAGDIF-BF16;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4075
TUN-MAGDIF-DET1-LAZO;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4076
TUN-MAGDIF-METEO;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4077
TUN-MAGDIF-BF20;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4078
TUN-MAGDIF-BF21;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4079
TUN-MAGDIF-BF22;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4080
TUN-MAGDIF-BF23;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4081
TUN-MAGDIF-BF25;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4082
TUN-MAGDIF-BF26;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4083
TUN-MAGDIF-BF27;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4084
