name;device;channel;description;controller;xAddress;xStatusAddress;inverseLogic
LQ-CONT-AA20-SM;CGBT;M2DI3;Estado Contactor K8 - CSA SAI K8;WAGO;15604;904;true
LQ-CONT-AE14-SM;CGBT;M2DI5;Estado Contactor K9 - CSA SAI K9;WAGO;15605;905;true
LQ-CONT-AE29-SC;CGBT;M2DI7;Estado Contactor K10 - CSA SAI K10;WAGO;15606;906;true
LQ-CONT-AE29-SC;CGBT;M2DI9;Estado Contactor K11 - CSA SAI K11;WAGO;15607;907;true
LQ-CONT-AE30-SM;CGBT;M2DI11;Estado Contactor K12 - CSA SAI K12;WAGO;15608;908;true
LQ-CONT-A29-SC;CGBT;M2DI13;Estado Contactor K13 - CSA SAI K13;WAGO;15609;909;false
LQ-CONT-A30-SC;CGBT;M2DI15;Estado Contactor K14 - CSA SAI K14;WAGO;15610;910;false
LQ-CONT-A31-SM;CGBT;M3DI1;Estado Contactor K15 - CSA SAI K15;WAGO;15611;911;false
LQ-CONT-A32-SM;CGBT;M3DI3;Estado Contactor K16 - CSA SAI K16;WAGO;15612;912;false
LQ-CONT-A3-SC;CGBT;M3DI13;Estado Contactor K1 - CSA RED K1;WAGO;15613;913;false
LQ-CONT-A5-SC;CGBT;M3DI15;Estado Contactor K2 - CSA RED K2;WAGO;15614;914;false
LQ-CONT-A4-SC;CGBT;M4DI1;Estado Contactor K3 - CSA RED K3;WAGO;15615;915;false
LQ-CONT-A6-SC;CGBT;M4DI3;Estado Contactor K4 - CSA RED K4;WAGO;15616;916;false
LQ-CONT-A13-SM;CGBT;M4DI5;Estado Contactor K5 - CSA RED K5;WAGO;15617;917;false
LQ-CONT-A23-SM;CGBT;M4DI7;Estado Contactor K6 - CSA RED K6;WAGO;15618;918;false
LQ-CONT-A12-SM;CGBT;M4DI9;Estado Contactor K7 - CSA RED K7;WAGO;15619;919;false
LQ-CONT-A22-SM;CGBT;M4DI11;Estado Contactor K8 - CSA RED K8;WAGO;15620;920;false
LQ-CONT-A33-SM;CGBT;M4DI13;Estado Contactor K9 - CSA SAI K9;WAGO;15621;921;false
LQ-CONT-A34-SM;CGBT;M4DI15;Estado Contactor K10 - CSA RED K10;WAGO;15622;922;false
LQ-CONT-A35-SM;CGBT;M5DI1;Estado Contactor K11 - CSA RED K11;WAGO;15623;923;false
LQ-CONT-A36-SM;CGBT;M5DI3;Estado Contactor K12 - CSA RED K12;WAGO;15624;924;false
LQ-VENT-VF11-CA;ARM_GAL_1;M3DI0;Temperatura Devanados Motor Ventilador VENT VF-11-CA;WAGO;15625;925;false
LQ-VENT-VF12-CA;ARM_GAL_1;M3DI1;Temperatura Devanados Motor Ventilador VENT VF-12-CA;WAGO;15626;926;false
LQ-VENT-VF13-CA;ARM_GAL_1;M3DI2;Temperatura Devanados Motor Ventilador VENT VF-13-CA;WAGO;15627;927;false
LQ-VENT-VF14-CA;ARM_GAL_1;M3DI3;Temperatura Devanados Motor Ventilador VENT VF-14-CA;WAGO;15628;928;false
LQ-VENT-VF5-MA;ARM_GAL_1;M3DI4;Temperatura Devanados Motor Ventilador VENT VF-05-MA;WAGO;15629;929;false
LQ-VENT-VF5-MA;ARM_GAL_1;M3DI5;Temperatura Devanados Motor Ventilador VENT VF-06-MA;WAGO;15630;930;false
LQ-VENT-VF7-MA;ARM_GAL_1;M3DI6;Temperatura Devanados Motor Ventilador VF-07-MA;WAGO;15631;931;false
LQ-VENT-VF8-MA;ARM_GAL_1;M3DI7;Temperatura Devanados Motor Ventilador VF-08-MA;WAGO;15632;932;false
LQ-VENT-VF11-CA;ARM_GAL_1;M3DI8;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-11-CA;WAGO;15633;933;false
LQ-VENT-VF12-CA;ARM_GAL_1;M3DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-12-CA;WAGO;15634;934;false
LQ-VENT-VF13-CA;ARM_GAL_1;M3DI10;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-13-CA;WAGO;15635;935;false
LQ-VENT-VF14-CA;ARM_GAL_1;M3DI11;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-14-CA;WAGO;15636;936;false
LQ-VENT-VF5-MA;ARM_GAL_1;M3DI12;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-05-MA;WAGO;15637;937;false
LQ-VENT-VF5-MA;ARM_GAL_1;M3DI13;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-06-MA;WAGO;15638;938;false
LQ-VENT-VF7-MA;ARM_GAL_1;M3DI14;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VF-07-MA;WAGO;15639;939;false
LQ-VENT-VF8-MA;ARM_GAL_1;M3DI15;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VF-08-MA;WAGO;15640;940;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI2;LQ-CUAD-PRES-GAL Estado Seta Emergencia;WAGO;15641;941;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI3;LQ-CUAD-PRES-GAL Estado Remoto tubo  ;WAGO;15642;942;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI4;LQ-CUAD-PRES-GAL Estado Marcha Ventilador derecho tubo   ;WAGO;15643;943;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI5;LQ-CUAD-PRES-GAL Estado Marcha Ventilador izquierdo tubo   ;WAGO;15644;944;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI6;LQ-CUAD-PRES-GAL Estado Fallo Ventilador derecho tubo  ;WAGO;15645;945;false
LQ-CUAD-PRES-GAL;ARM_GAL_1;M1DI7;LQ-CUAD-PRES-GAL Estado Fallo Ventilador izquierdo tubo  ;WAGO;15646;946;false
